,read,comment,title,time
0,1211,15,控股股东在打压B股???按理说外资基金做多乃至恶意做多B股对自己最有利，因为,09-02 03:46
1,52,1,NND为啥大嘴不跌了，我还没买多少，大家说说为啥？，希望3季度业绩亏损，不亏没便,10-25 11:17
2,62,0,向上无动力，补仓无空间，估计得b20进前10才能有希望了。,10-24 02:39
3,55,0,大嘴底部确立，无惧大盘调整[大笑],10-24 10:50
4,211,2,中毅达b，中毅达b900906，下午暴利，全上，干，,10-18 11:57
5,264,3,384开始补仓大嘴2万股,10-19 10:14
6,161,0,主力在方便！,10-20 10:07
7,192,0,0.369这个价格今年是一定要破的。请大家注意观看结果。,10-18 12:22
8,163,0,？？？,10-17 03:23
9,177,0,成了僵尸，这股已经步振华后尘了。,10-17 02:59
10,214,0,誓死守卫0.53高地！,10-16 09:08
11,255,1,三季度报什么时候出来？,10-13 11:39
12,252,1,三季报出来妥妥上0.5,10-15 01:41
13,252,0,B股的老朋友们要振奋起来！打爆空头！,10-13 02:17
14,287,1,陆B拉伸的话，至少是三个月以后的事！,10-12 03:04
15,258,0,陆B拉升的话，至少是翻倍行情。,10-12 01:50
16,773,5,两市少有的B股比A股活跃的股票！两次4以下入都有收获！,09-22 08:07
17,250,4,B股流动性差的问题什么时候能解决,09-08 04:56
18,296,2,最宝是业绩大幅下降导致以后分红下降,10-10 07:47
19,345,2,我们正在创造历史，知道吗?,10-10 09:14
20,245,0,A股的汽车股都快涨接近4%了，B股唯一的汽车股900953凯马怎么还不动，美金呢,10-12 11:43
21,363,2,从每股收益1元多到现在只有0.18元下降太厉害,10-10 07:48
22,365,1,陆家嘴公司是否有义务透露截止8/31日的前十大股东信息？,09-02 09:21
23,818,4,看公告百亿索赔，靴子落地，B上0.8,10-05 06:03
24,558,3,今0.4未破，休息！减半0.2再进！！！,09-20 03:13
25,531,2,369会再来一次的,09-22 01:44
26,2537,12,亲，区间内不交易，这个价位几个主力资金很嗨么，很好的，很好的，很好的。,09-14 03:07
27,2670,16,2023-9-12上半年陆家嘴业绩说明会若干整理随着市场需求逐步复苏，旅游观光人,09-12 08:12
28,654,0,从月K线图看2019年5月便可知，一根月K大阴线之后，便会有连续数月的下跌趋势，,09-23 06:49
29,675,2,外汇局已发布开放外汇的汇入汇出，B股下星期应该有所反应！,09-23 02:45
30,1066,8,亲，bbq的一天，上午提了点现金出来，毕竟要欢度国庆…b股跌的有点多，算了吧…都,09-21 03:02
31,1813,22,亲，师傅昨天说，搞不懂小仙你为啥买半山腰盘整股票，而不买底部温和放量的股票。所以,09-20 03:02
32,640,1,B股被MSCI删除了，几亿股必须被动全抛出，筹码散落。交易量极少的市场，业绩又差,09-20 09:28
33,830,7,证监会对B股问题想太多了，同股同权完全可以直接合并解决B股问题，按不同货币结算，,09-14 08:23
34,1483,24,陆家B价格0.4美元折人民币2.8元人民币。股息率大增。,09-02 10:32
35,473,0,今天得到4以下,09-18 10:04
36,835,10,有的事要等到看清楚，有的事不要等到看清楚，能可想而知,09-09 09:10
37,710,6,4毛这个位置买不完，根本买不完。,09-16 02:58
38,484,0,今天才知道，没有流动性的股票一触即溃。没有流动性的市场如同一潭臭水。,09-16 07:14
39,523,0,有人又发神精了！有钱人德要配位，否则会压垮自己！,09-15 05:00
40,493,1,两个交易日0.415吃了439手，明天继续！,09-14 09:06
41,495,2,真便宜,09-14 03:50
42,538,2,B股被踢除MSCI指数，外资几亿股必须全部卖光。还有得跌,09-13 04:54
43,450,0,$陆家Ｂ股(SH900932)$,09-13 08:32
44,476,6,可以预计的是,09-11 02:04
45,446,7,先向上补0.491缺口,09-10 09:20
46,771,6,半年度业绩说明会上关于B股的问题回答，感觉有点令人失望啊。不知道明天开盘会怎么表,09-12 04:09
47,233,2,习惯了的暴风骤雨变成了今天的一湖静水，还真有点不习惯,09-12 02:22
48,216,0,$陆家Ｂ股(SH900932)$,09-12 04:03
49,286,2,AB股同股同权，不需要回购，直接接轨，按不同货币结帐就可，就像新城B一样。,09-11 12:04
50,376,6,已提议公司把握时机回购b股股份,09-08 02:49
51,230,1,买它就当在上海买房了，每年租金回报率10％左右,09-08 03:13
52,259,2,伤心的一周，亏损8.86％。。。。,09-09 03:26
53,165,1,外资卖完了吗？,09-08 05:32
54,156,1,投资陆家嘴永远是一个不温不火的大盘股！没想到现在都成了垃圾股了！,09-06 10:44
55,302,6,能以低廉的价格买到一线核心的地产是个千载难逢的机会。珍惜吧！,09-08 08:20
56,156,2,贴吧几个大空D一个肉都3块了，还要卖，这种人不是傻就是坏。,09-08 09:40
57,173,1,陆家嘴的房价那么贵，为什么股价这么便宜，而且不涨？,09-08 09:14
58,156,1,多看少动,09-07 10:17
59,155,1,对于我来说这货现在所有的上涨都是亏损，所以殷切期望您老继续下跌趋势。。。。你看看,09-07 08:50
60,230,1,陆家B代表的是上海金融业，不可能发生退市，10亿多的B股盘，大多数投资者的成本应,09-07 07:34
61,157,3,严肃的告诉你们明天早盘有一波中等力度的下跌。,09-07 06:21
62,775,11,我回来了。去年0.9美元的臭嘴，加仓两桥。,08-30 09:42
63,99,1,还会跌破0.4.垃圾B股是不是暴雷啦，真无语,09-07 02:06
64,81,0,小幅反弹基本结束,09-07 11:42
65,74,0,两岸猿声啼不住，轻舟已过万重山!,09-07 09:54
66,284,4,现在买进放上三年是最好不过了。,09-05 11:45
67,426,4,前几天有大机构再甩货，原因就不清楚了。陆家嘴B的估值应该在0.8—0.9之间，会,09-06 01:09
68,193,4,涨停走起,09-06 01:43
69,762,13,都不要了啊，盘前挂单0.369、0.371买入10000、5000股均成交。B股,09-01 09:44
70,148,1,破四望三，破十奔五。,09-06 10:02
71,89,0,恒大今天30点碧桂园都开始大涨了，快跟上,09-06 11:46
72,284,7,现在在砸的可能就是8月31日吃进去的筹码。,09-05 11:07
73,217,3,持股多年。。。在A股长期投资就是个笑话,09-05 02:32
74,189,2,谁来解救，谁有能力解救？感觉会长时间底部震荡磨人，做好心理准备。,09-05 10:28
75,403,1,陆家嘴:关于放弃上海东袤置业有限公司40%股权及上海耀龙投资有限公司40%股权优,09-04 09:29
76,181,2,动力B又创新低，陆家B会不会跟跌,09-05 10:10
77,957,16,千载难逢的机会，一只香烟屁股,09-02 08:29
78,756,9,大家都说慢慢买入，上周四、五两天，我抛了老凤祥，全买入陆家嘴B，60多万股，你们,09-03 12:52
79,1188,6,如果陆家B是纯B公司，这么跌确实不敢去买/加仓…关键还是看陆家嘴这家公司到底怎么,09-03 10:46
80,191,0,等待破0.37,10-16 02:23
81,551,3,等了许久今天393开始建半仓,09-21 02:27
82,535,3,从陆家B过往k线图来看，每次上涨都是抛售良机。绝对正确,09-14 09:45
83,903,10,沪B庙小，外资看上了，走就走吧，不留了。涨的时候要有票，跌的时候要有钱，b20马,09-05 12:30
84,154,0,向二十日均线进军[胜利][胜利][胜利],09-08 10:57
85,246,0,陆B缓慢的开始反弹了，从成交量看，外资要走也差不多了，短期0.369就是底部了，,09-08 02:36
86,107,0,此股大涨有巨大抛盘，大跌有巨大买盘。不涨不跌就是死水一潭,09-08 11:05
87,84,0,一句话大家在赌大小。身在赌局中身不由己！,09-07 08:09
88,84,0,今天下午0.423购买了，希望以后上涨,09-07 05:30
89,159,4,3字头没有买入，不知道会不会是遗憾,09-07 10:00
90,210,4,今天再大跌就买，大涨就卖。,09-06 08:32
91,119,0,$陆家Ｂ股(SH900932)$,09-06 04:06
92,88,0,面对机器人量化。我们永远在输的路上！,09-06 11:14
93,253,2,陆加B股的下跌与伊泰B股的爆涨会形成鲜明对比，B股中的王炸,09-05 11:06
94,736,8,做好陆B的补仓工作，反弹一触即发。2.8元的大嘴现在只能先闭嘴，这个价格是垃圾股,09-01 02:05
95,197,1,不懂就问，为什么深B山航退市后在三板会变成美元交易？,09-04 10:34
96,161,1,希望大家都发表看法。让网管看看！,09-04 06:30
97,103,0,这个股基本上完了。鉴定完毕,09-04 09:08
98,210,2,一坨S盘面超级活跃，正式进入投机价值区间，本地人表示正式加入投机队伍,09-01 08:52
99,127,0,又出现量化的迹象，快跑！,09-04 01:56
100,602,3,有陆B资深股友，周五已经致电大嘴证券事务部，约了周一前去走访。公司答应接待。,09-03 12:19
101,118,0,陆家Ｂ股9月4日快速上涨,09-04 09:34
102,105,0,陆家Ｂ股9月4日盘中涨幅达5%,09-04 09:34
103,206,0,是啊，连跌半个月了，放出天量了，应该有见底的味道了，该反弹了。,09-03 09:51
104,341,3,陆家B就是典型的量化交易，一路下跌一路抛，只要公司不爆雷，最好做法就是低位分阶段,09-02 10:29
105,300,0,MSCI要加入某股，你认为事先没人知道，MSCI服务散户，散户能更快第一时间低价,09-03 11:00
106,4825,29,MSCI大幅做空B股，导致今日B股指数崩杀近5％！对于B股投资者而言，202,08-31 04:55
107,169,2,陆家嘴B股连续异动下跌，公司有责任和义务发声！！！,09-01 10:33
108,804,9,陆家B跌的原因准备B股收了退市，价钱又不能高于净资产，怎么办很很往下砸到破0.4,09-01 09:43
109,261,2,这价格折算才3元人币，公司基本面尚可，近年分红也行，已跌穿十年前价位！逢低买点当,09-01 02:06
110,370,5,陆B这样子，有没有可能转H？A股毫无波澜，B股天天股灾，公司也沉得住气，无任何公,09-01 10:04
111,168,2,别人恐怖的时候，我贪婪！,09-01 09:00
112,158,1,嘿嘿，好样的，下周再来两天,09-02 02:44
113,153,1,请公司象鲁泰一样回购B股注销,09-01 10:36
114,178,0,中国人民银行9月1日消息，为提升金融机构外汇资金运用能力，中国人民银行决定，自9,09-01 09:14
115,194,2,相当A股接近1/4的价格，市净率0.48，什么叫市场错杀？机会难得啊！,09-01 06:00
116,178,3,这个价，卖的有赚吗？,09-01 01:19
117,387,1,如果你持有500万股，怎么不可以500万股T0？如果是一伙人呢？很显然是协调好的,09-01 02:55
118,209,3,陆家嘴AB股合并，彻底解决空头问题,09-01 12:32
119,137,0,奇迹如期而现，但仅仅维持了10分钟，不过往后的奇迹会更多更长更稳！,09-01 04:14
120,269,2,海通证券上海徐汇区建国西路营业部今日净买入154.56万,08-31 05:45
121,103,0,MSCI做空力度可以啊,09-01 02:32
122,101,1,一个AB股合并政策就可以团灭空头所有资金[大笑][大笑][大笑],09-01 02:18
123,74,0,破20年线。,09-01 02:24
124,121,2,我加仓等走平,09-01 12:48
125,70,0,真不知道股市里怎么这么多的钱,09-01 01:40
126,86,0,怎么这么多的抛盘？,09-01 01:07
127,1017,6,如果你真认为今天有机构（多个）卖掉了八千万股，那你应该非常开心，因为能够在公开市,08-31 05:36
128,136,1,市净率不足0.5了。,09-01 09:08
129,70,0,无底洞呵，得多少钱填呵，,09-01 11:26
130,389,2,2023/08/31 额  滴 天  大A的  B    股,08-31 05:34
131,67,0,建点底仓,09-01 11:12
132,81,0,差不多得了，别跌了，发疯也得有个度！,09-01 10:16
133,145,0,B股退出MSCI成份股．几亿股全得出光,09-01 10:04
134,74,0,9：32居然敢跌停[怒]现在下单跌停等你，给个机会吧。,09-01 09:57
135,227,3,昨天尾盘的4千万股今天还要不要卖？大伙等着砸跌停好入手，外资还敢砸吗？,09-01 09:15
136,47,0,快点跌啊，等着抄底了,09-01 09:52
137,53,0,索性一步到位,09-01 09:44
138,3010,10,陆家B股(900932)龙虎榜数据(08-31),08-31 05:14
139,113,2,继续继续，0.3有奖[呲牙],08-31 11:23
140,156,1,卖单频繁提交撤销想表达什么意思？,08-31 02:00
141,123,1,压盘一直在撤单然后往后面再挂单,08-31 02:06
142,131,0,不要小看对冲基金，这边B股砸盘看似赔钱，另一头高杠杆挣钱。,09-01 06:33
143,92,0,现在即使IPO全面封停，也挡不住股市下跌。,09-01 07:34
144,147,0,看来空头破釜沉舟了！如果今天收盘出AB股合并的消息，看来空头会血本无归！,09-01 07:17
145,116,1,$陆家Ｂ股(SH900932)$,08-31 11:36
146,116,0,摩根不是做空华股，而是被IPO吓跑的，不玩了可以吧、,08-31 10:54
147,159,1,最长的绿线,08-31 06:17
148,522,4,今天蛇猫榜出来了，B股义庄b20已经入驻了。20入驻，陆B飞天！大家耐心等待收获,08-31 06:25
149,102,0,今天沪b市场大跌，深b反而要好一些。难道是专属上海的利空?,08-31 09:49
150,281,2,历史性机遇，不到3元的陆家嘴，今天大胆买进800手，明天若跌，继续买进！,08-31 07:03
151,65,0,我永远做多头。,08-31 08:51
152,3546,1,可能就在明年，盼了20年的AB合并就要到来，原因很简单，B股已经被边缘化，且没有,08-31 07:00
153,148,0,考验人性的时刻，天量斗法，见证奇迹即将来临！,08-31 07:38
154,168,0,一天的成交金额超过前一个月的总和……A不让减持，就减持B[大笑][大笑][大笑],08-31 06:27
155,273,3,如果没有爆大雷的话，真要感谢外资砸盘释放廉价的筹码，再来一个跌停就加到满仓了。,08-31 05:14
156,146,0,华鑫证券上海茅台路营业部今日净卖出270.82万,08-31 05:45
157,75,0,好爽，好爽呀[兴奋],08-31 05:39
158,96,0,等了好久终于等到今天，等了好久终于把梦实现，慢慢加仓快到满仓！,08-31 05:33
159,343,7,已经被打残,08-31 03:02
160,560,10,8月11号到今天成交1.3亿股（买卖双边算6500万股）流通前10是5900万股,08-31 04:23
161,1053,4,公司只要宣布最高价70美分回购不超过1亿美金的B股（这样做合理合法合情而且应该，,08-31 02:50
162,389,11,强烈要求陆家嘴上市公司就B股异常出来说明情况！！！,08-31 03:12
163,120,0,陆家嘴被MSCI踢出群了，外资疯狂卖出，换庄,08-31 05:19
164,70,0,富贵险中求，别人恐惧我贪婪，赌你没爆雷，三毛加到满仓。,08-31 05:17
165,61,0,没有外资砸盘，哪能买到这么廉价的筹码，盼望眀天跌停继续加仓。,08-31 05:11
166,84,0,神仙打架，散户观望为宜。,08-31 04:45
167,265,2,既然外资想出走，内资大户就对到压价，来个关门打狗，只是苦了无辜的散户。,08-31 04:03
168,474,11,0.4307$持仓成本。总计5千手。以后再补仓。3块钱的陆家嘴没见过，参与一下吧,08-31 01:34
169,77,0,为什么会跌停啊？B股发生了什么？,08-31 04:19
170,72,0,外资撒退不计成本,08-31 04:10
171,145,1,炒B股从来没买过陆家嘴，0.35以下考虑接一点，毕竟号称金融中心[捂脸],08-31 02:35
172,161,3,会跌到零吗？,08-31 03:14
173,493,3,被MSCI指数踢除，外资几亿股一定要出清,08-31 02:24
174,187,3,有史以来最大成交量了吧。,08-31 03:20
175,79,1,这是什么东西啊？为什么还没有退市啊？,08-31 03:12
176,81,0,今日成交量创历史纪录,08-31 03:27
177,127,2,天塌不下来，该来的迟早要来！,08-31 03:05
178,54,0,这个跌幅上市公司应该出来说两句吧？,08-31 03:14
179,164,1,大家分析一下最后成交的这一笔表达了什么意思？,08-31 03:08
180,127,1,馋了挂0.41买一万股试试,08-31 10:49
181,137,1,什么情况有懂的人解释一下,08-31 02:59
182,293,4,以b股为突破口了,08-31 10:51
183,72,0,天量收盘,08-31 03:01
184,188,1,和2015年第一轮一样，典型的多头逆击走势，后面就是连续大阳线和涨停,08-31 02:47
185,112,0,陆家Ｂ股8月31日打开跌停,08-31 02:46
186,83,0,陆家Ｂ股8月31日盘中跌停,08-31 02:41
187,112,1,未分配利润	144.9亿,08-31 02:31
188,66,0,还有很多股份没卖完，大家别着急接。,08-31 02:36
189,70,0,赔钱加羞辱,08-31 02:21
190,157,3,公司不作为,08-31 01:29
191,330,4,不可思议，0.456$就算是底部了？难道外资这几天全扔了？,08-31 09:44
192,90,1,汇率贬值按理对B股是利好啊，看来B股真的被打趴下了,08-31 01:54
193,209,4,今天成交量要近三千万股,08-31 01:16
194,130,0,神奇制药，大买盘封板！,08-31 01:40
195,61,0,庄家狡猾！ 故意不跌停，慢慢出货！,08-31 01:29
196,100,0,为什么所有B股今天都这个样，在玩什么。,08-31 01:27
197,148,1,为什么？为什么?大跌为什么？,08-31 11:58
198,136,0,外资坚决出货,08-31 01:18
