,read,comment,title,time
0,30,0,市盈率不到4，市净率约0.45，还这个熊样？,10-25 04:44
1,148,0,看你能砸到多少！,10-18 02:33
2,191,0,虹美菱B10月16日快速反弹,10-16 02:22
3,312,0,虹美菱B10月11日快速反弹,10-11 02:55
4,1024,0,账面那么多现金，要么降负债，要么继续回购B股，留着有何用？,09-15 09:29
5,1249,1,才共1.4亿B股，除去一些遗忘账户的可能剩8千万股，来一个大户就能买光,09-08 09:24
6,1505,0,格力单季度业绩创历史新高,08-31 09:02
7,1528,0,虹美菱B8月28日快速上涨,08-28 09:43
8,1525,0,虹美菱B8月28日开盘涨幅达5%,08-28 09:40
9,2250,11,长虹美菱B：严重低估，业绩高增长！买到=赚到！拿稳，争取翻倍！,08-18 07:22
10,2145,0,“长红美临”很吉利，顾名思义是“股价长红，美态来临”。别抛，明天还涨点，集少会成,08-16 03:47
11,2257,0,还有7个交易日见半年报业绩0.35元，本周美菱b股价将创新高。,08-09 08:54
12,2225,0,没有资金关注,08-09 02:16
13,2396,20,长虹美菱B：业绩高增长！在末来的日子里将会不断振动攀升！加大力度买入，坚守待收益,08-08 06:05
14,2311,3,美荾B还有9个交易日公布靓丽的中期业绩，美菱A股站稳开始走强，查看深b所有3至6,08-07 10:58
15,2240,0,纠正：是最多资金而不是最多资金。,08-07 11:03
16,2244,1,美菱b加油，把京东方b踩在脚下。,08-07 04:45
17,2327,2,长虹美菱股份有限公司2023年半年度业绩预告本公司及董事会全体成员保证信息披露的,07-24 04:39
18,2153,1,美菱B每天都以当日最高价向上走，不急不燥，走得不错。目前已经摆脱2.6元股价的群,08-04 07:42
19,2285,1,半年报予增：每股盈利:0.31元/股–0.369元，半年赚0.4港币B股上看5港,07-25 09:47
20,2361,0,看看京东方B3.17元的股价，就能判断出美菱b2.88元太便宜了。8月18日美荾,07-31 10:34
21,2310,0,天掉下来的馅饼（美菱b）要拿稳，别错失良机。,07-28 04:42
22,2327,1,今天走得不错，深b涨幅第一，但仍然是地板价的底部，之后还会发生类似今天怕买不到的,07-28 04:27
23,2309,0,美菱b年内业绩估计近0.7元，现价2.7元港币，性价比没股可比，适合买入做中长线,07-27 08:02
24,2278,0,$虹美菱B(SZ200521)$,07-27 10:27
25,2109,2,领涨。至少翻倍,07-20 10:38
26,2159,3,我会等,07-21 09:35
27,2197,0,这只股的中期业绩预告是0.26至0.32元之间，3季度因天气炎热，业绩还会继续增,07-21 04:05
28,2145,1,怎么买？,07-20 01:50
29,2855,1,看A股走势还有两倍以上的套利空间，错过又是十年!,04-20 11:30
30,2022,0,b股都起飞了,07-18 07:34
31,2174,10,虹美菱B，启动了，买入待收益！,07-18 10:43
32,1952,0,昨天发予增：A股套住1亿股在上方占实际流通A股总量的约三分之一。韭菜,07-18 09:49
