,read,comment,title,time
0,46,0,瓦轴B:关于购买土地暨关联交易的进展公告(英),10-25 05:06
1,59,0,瓦轴B:关于购买土地暨关联交易的进展公告,10-25 05:06
2,57,0,瓦轴B10月24日盘中跌幅达5%,10-24 09:34
3,76,0,瓦轴B:董事会审计委员会工作细则,10-23 05:21
4,123,0,瓦轴B：前三季度净亏损缩窄至4070.54万元,10-23 04:54
5,82,0,瓦轴B:九届七次董事会决议公告(英文),10-23 04:16
6,80,0,瓦轴B:瓦房店轴承股份有限公司2023年第三季度报告(英),10-23 04:16
7,74,0,瓦轴B:董事会薪酬与考核委员会工作细则,10-23 04:16
8,73,0,瓦轴B:独立董事工作制度,10-23 04:16
9,127,0,瓦轴B:2023年三季度报告,10-23 04:16
10,77,0,瓦轴B:监事会决议公告,10-23 04:16
11,84,0,瓦轴B:董事会决议公告,10-23 04:16
12,78,0,瓦轴B:九届六次监事会决议公告(英文),10-23 04:16
13,72,0,瓦轴B:董事会提名委员会工作细则,10-23 04:16
14,72,0,瓦轴B:董事会战略委员会工作细则,10-23 04:16
15,69,0,瓦轴B10月23日快速反弹,10-23 10:06
16,143,0,瓦轴B10月20日快速反弹,10-20 11:00
17,148,0,瓦轴B10月20日盘中跌幅达5%,10-20 10:01
18,280,0,很明显瓦轴B有资金在吸筹，那一天2.32元买了一万股，今天挂2.44很轻松的卖掉,10-16 01:14
19,365,0,这两天极度缩量不知怎么回事！,10-12 01:23
20,504,4,都只剩1。09元净资产了，就算私有化也不可能给太高国企有条文的，撑死给溢价100,10-11 04:17
21,419,0,缩量震荡大胆低吸，盘中无论如何波动，尾盘有人只买一手帮着拉高，为什么不去分析，看,10-10 03:06
22,389,0,瓦轴B10月10日盘中跌幅达5%,10-10 01:21
23,676,1,瓦轴已被中车收购,10-09 12:01
24,637,0,这只股具有不少新技术优势，以后有底气成为令人羡慕的绩优股，可惜目前自身没有资金开,10-02 01:35
25,1652,0,买吗？股神降临…则任由熊市的拍打，就像唱起的牛市节奏，在举国同庆的日子里，感受到,10-02 02:24
26,776,0,瓦轴B(200706)龙虎榜数据(09-27),09-27 04:24
27,719,0,瓦轴B9月27日快速上涨,09-27 10:00
28,1684,2,瓦轴B(200706)龙虎榜数据(08-28),08-28 04:39
29,853,0,瓦轴B9月21日快速反弹,09-21 10:06
30,847,0,瓦轴B9月21日盘中跌幅达5%,09-21 09:56
31,2063,2,我是瓦轴职工，瓦轴不亏损天理不容，不过瓦轴正在改制大家可以低吸,08-24 06:58
32,1071,0,瓦轴B9月13日盘中跌幅达5%,09-13 11:12
33,1206,0,你好，行业轴承企业都来A股上市了，什么时候轴承老大也来A股。,09-11 04:38
34,1298,0,瓦轴B9月5日快速反弹,09-05 02:34
35,1524,0,瓦轴B8月28日盘中涨幅达5%,08-28 09:50
36,1642,0,瓦轴B8月25日快速反弹,08-25 09:47
37,1676,0,瓦轴B8月24日快速反弹,08-24 02:48
38,1725,0,瓦轴B8月23日快速反弹,08-23 02:52
39,1766,0,瓦轴B8月22日快速反弹,08-22 09:36
40,1774,0,瓦轴B8月22日盘中跌幅达5%,08-22 09:33
41,1826,0,瓦轴B:2023年半年度财务报告(英文版),08-21 04:03
42,1832,0,瓦轴B:半年度非经营性资金占用及其他关联资金往来情况汇总表,08-21 04:03
