,read,comment,title,time
0,414,1,///A股的汽车股都快涨接近4%了，B股唯一的汽车股900953凯马怎么还不动，,10-12 11:37
1,433,0,股价归零确实是处理B股最佳方案[龙头],10-10 02:50
2,456,0,百联Ｂ股10月9日快速反弹,10-09 10:09
3,803,0,明天再来看,09-26 01:42
4,995,0,B股怎么回事?为什么大跌？哪位行家解释解释，谢谢！,09-20 09:40
5,978,0,为什么今天b股大跌？,09-19 02:03
6,1448,1,国家政府准备激活股市，应该是优先激活B股，最好是在某个基准日，AB两类股票并轨，,09-04 11:18
7,1498,0,百联Ｂ股8月31日快速反弹,08-31 11:07
8,1580,0,百联Ｂ股8月28日快速回调,08-28 10:04
9,2075,0,应该是从盘活B股开始活跃股市，这样成本最低。AB合二为一，或者进一步发行，或者按,08-18 03:54
10,2178,1,分红到账了！,08-17 08:18
11,2388,3,股友：B股分红的钱什么时候到帐？一千股派几元呢！谢谢、望知道的麻烦说一下,08-04 11:14
12,2106,0,今晚分红就要到账了！,08-17 09:52
13,2130,0,怎么这里没有收购百联时尚的公告？,08-15 08:49
14,2288,4,我为什么买不进去呢,08-04 10:54
15,2261,2,B股市场，被遗忘的角落！到寻找出路的时候了！,05-24 12:58
16,2245,0,$百联Ｂ股(SH900923)$,08-01 07:07
17,2306,1,目前条件下是百联AB股合并的好时机，合二为一后B股从美元拿回人民币，A股价值得到,07-28 02:07
18,2145,1,这种没有交易的b股有存在的必要吗？人民币都国际化了，好心人能解释一下好吗,07-18 10:30
19,2092,1,跌下来对你有啥好处？,07-04 02:58
20,2135,0,明天还会跌，走着瞧,07-04 02:19
21,1927,0,百联Ｂ股7月4日快速反弹,07-04 02:08
22,2092,1,抛的都傻,06-15 02:54
23,2132,0,这一天天墨迹在干啥呢？,06-16 02:14
24,2055,0,在抛,06-15 02:54
25,4378,2,百联集团或有大动作？,06-10 05:41
26,2314,1,百联打开涨停下跌了。,05-26 02:28
27,2249,1,反正就知道家乐福都不行好久了。上海人口下降+老龄+社区送菜/网购。,05-25 02:49
28,3764,7,一天的总成交量还不够我的持仓量的三分之一，我要是烦了，能整它两个跌停板。[大笑],04-06 01:20
29,2051,0,百联Ｂ股5月26日盘中涨幅达5%,05-26 01:52
30,1753,0,啥情况？,05-26 01:47
31,1985,0,百联Ｂ股5月26日快速上涨,05-26 01:24
32,2150,0,$百联Ｂ股(SH900923)$,05-24 12:56
33,2711,0,应该最好和pdd合作布局线下。都是上海企业,05-05 11:00
34,3653,2,这B股太凄惨就，人间地狱,03-24 02:12
35,4734,5,1.2本什么时候能解套啊？哎.....,09-19 09:50
36,4172,1,这个股价每年拿红利都实惠,11-16 11:29
37,4251,14,《消费》……今年消费是主题，Ａ股资金净流入，无忧。,01-11 06:35
38,2931,0,百联Ｂ股1月13日快速反弹,01-13 10:03
39,1987,0,百联Ｂ股1月13日快速回调,01-13 09:58
40,4894,1,锦港B，锦港B，锦港B[勾引][勾引][害羞羞][害羞羞],12-30 12:38
41,4161,1,医药股今日跌停，是不是宣告结束，以岭药业亏损被套。老师帮忙指导一下,12-20 05:05
42,4110,1,新年快乐，初心不改，持仓还在,01-01 04:36
43,2027,0,百联Ｂ股1月4日快速反弹,01-04 10:29
44,1910,0,百联Ｂ股1月4日快速回调,01-04 10:25
45,2029,0,百联Ｂ股12月20日快速回调,12-20 09:36
46,3793,0,转发,12-15 10:05
47,3837,0,Bn,12-13 11:32
48,3777,0,转发,12-13 08:43
49,3832,0,转发,12-09 07:18
50,2034,0,百联Ｂ股12月8日快速上涨,12-08 09:49
51,4046,0,友情提醒看帖，注意看日期。以免误导。！！！,12-07 10:15
52,3769,0,转发,12-06 09:46
53,4061,1,股权转让回笼资金20.288亿元，除了做大做强免税店业务等，后面有太多的机遇希望,12-06 10:43
54,2013,0,百联Ｂ股12月6日快速回调,12-06 10:11
55,1995,0,百联Ｂ股12月6日盘中涨幅达5%,12-06 10:06
56,2041,0,百联Ｂ股12月6日快速上涨,12-06 10:06
57,4229,5,供销社概念股，百联的机会来了！,11-04 02:26
58,3737,0,转发,12-05 06:34
59,3730,0,转发,12-05 05:03
60,3755,0,转发,12-04 04:02
61,3778,0,喔～,12-02 09:35
62,4233,2,来华电B，全世界最低价，17号停牌上会！摇身一变成煤炭股,11-12 01:01
63,2063,0,百联Ｂ股12月1日快速上涨,12-01 09:45
64,3805,0,感谢大佬,11-30 09:31
65,4182,2,零售，供销社概念,11-16 01:28
66,4323,4,供销 商超  新模式,11-01 09:20
67,3802,0,学习,11-25 10:00
68,6358,4,B股和A股价格差那么多啊,04-23 08:00
69,2325,0,百联Ｂ股11月2日快速上涨,11-02 01:06
70,2381,0,百联Ｂ股10月31日快速回调,10-31 09:52
71,4341,2,今天B股涨停板[大笑][大笑][大笑],09-29 09:22
72,4143,1,美元升值，更值钱，为什么股票里的美元市值却在跌呢？,09-28 11:21
73,2445,0,百联Ｂ股10月24日盘中跌幅达5%,10-24 02:15
74,2455,0,百联Ｂ股10月18日快速上涨,10-18 10:27
75,5504,4,$百联Ｂ股(SH900923)$免税牌照通过了？,06-23 11:03
76,2626,0,百联Ｂ股9月27日快速回调,09-27 09:44
77,2711,0,百联Ｂ股9月26日加速下跌,09-26 02:10
78,2677,0,百联Ｂ股9月26日盘中跌幅达5%,09-26 01:53
79,4614,1,挂了10万，要不要吃下他？[呲牙],08-05 10:53
80,4387,0,小散就是这样，想买的时候，上面有单不抓紧吃，想卖的人，下边有要的不抓紧给，一定是,08-17 10:57
81,5573,3,百联B股都没有人交易了吗,04-18 11:21
82,3675,4,红利到账了吗？,07-14 09:57
83,4359,0,$百联Ｂ股(SH900923)$去美元化首先从去B股交易做起。实现AB股同价,06-08 03:08
84,4346,0,要不要把这1000手给他呢？[呲牙],06-07 01:59
85,3512,0,百联Ｂ股6月7日快速上涨,06-07 11:17
86,5215,2,鄂资B十送四红利20元,04-15 12:12
87,4238,0,百联Ｂ股5月25日盘中涨幅达5%,05-25 10:41
88,4126,0,百联Ｂ股5月25日快速上涨,05-25 10:40
89,4290,1,打算干它1000手，就是有点犹豫[呲牙][呲牙],05-18 02:43
90,4139,0,百联Ｂ股5月11日快速反弹,05-11 10:00
91,4701,0,被老翁瞄上的股错不了。[呲牙],04-12 07:56
92,4704,3,0.730挂40000，0.720挂80000，有戏吗？[加油][加油],03-28 01:43
93,4409,0,百联Ｂ股4月1日快速上涨,04-01 10:17
94,4394,0,百联Ｂ股4月1日快速反弹,04-01 10:16
95,4428,0,百联Ｂ股3月15日盘中跌幅达5%,03-15 01:43
96,4807,1,公布免税申请结果的消息之时，无论成败，才是反弹的开始。,03-10 10:02
97,4482,0,百联Ｂ股3月11日快速反弹,03-11 10:21
98,11648,1,《冷》……几乎无人来问津，但是确实潜力大。,09-29 08:12
99,4576,0,超卖及其严重，搞点！[呲牙][呲牙],03-08 01:09
100,4633,0,百联B估值低，与A股比较，具有一定优势。美元放在股市里，分红率超过存款利息。这样,03-06 03:20
101,4570,0,$百联Ｂ股(SH900923)$为什么公司净资产收益率10%还不到呢？,02-22 01:25
102,5231,4,百联B股转H股就好了,07-05 02:01
103,5207,0,不争气的B，没有之一。,12-09 02:18
104,5147,0,为什么还在这个B股上陪太子读书?看看湖南天涯B股2cm了,12-07 02:34
105,7966,0,唉！投票这是小散唯一表达情绪的方式。,11-14 08:12
106,4722,1,无人问津的B股,11-02 10:05
107,5825,1,百联B潜力巨大,09-18 12:41
108,37001,2,请问免税业务申请有进展吗？,08-31 09:59
109,38059,0,请贵公司上书国务院，咨询下相关部委，百联集团申请的免税牌照，为什么一直拖在那，是,09-17 05:18
110,37950,0,您好，策展型购物中心盈利能力如何，他的生存空间在哪？盈利增长点又在哪,09-17 05:18
111,36101,0,虹桥中央商务区十四五规划建设国际化购物消费新地标，智慧零售、跨界零售、绿色零售等,09-17 05:17
112,11579,0,针对可能的免税业务，贵公司已经采取了什么措施来做基本保障？,09-17 05:17
113,28897,0,董秘您好，在网上查看到百联有免税品仓库，请问该免税品仓库是用于出租还是用于自用？,09-17 05:16
