,read,comment,title,time
0,1504,1,B是什么，买不了吗？,09-11 09:18
1,642,0,还得放量才到底,10-09 02:35
2,1327,0,大名城B9月18日盘中跌幅达5%,09-18 01:53
3,1568,0,[爱心],09-06 10:46
4,1809,1,希望你能争点气,08-28 09:09
5,1727,0,大名城B8月28日开盘涨幅达5%,08-28 09:40
6,1905,0,谢谢博主的分享,08-25 01:40
7,1900,0,谢谢博主的分享,08-25 01:38
8,1854,0,大名城B8月23日盘中跌幅达5%,08-23 02:53
9,2066,0,大名城B8月16日快速反弹,08-16 10:52
10,2152,0,大名城B8月14日盘中跌幅达5%,08-14 09:38
11,2184,0,大名城B8月7日盘中跌幅达5%,08-07 11:17
12,2189,0,大名城B8月3日快速反弹,08-03 10:23
13,2366,0,中路b，中路b900915，上午暴利，全上，干,08-01 07:41
14,2235,3,用老凤祥B分红款的一部分买的玩，没想到几天就10%多涨幅。,07-25 12:05
15,2197,0,大名城B7月31日快速回调,07-31 09:46
16,2197,0,大名城B7月28日快速上涨,07-28 01:03
17,2466,4,100股20元?，随便来个大散户都控盘了[呲牙],07-26 01:11
18,2169,0,大名城B7月26日快速回调,07-26 02:24
19,2228,0,神仙股,07-26 12:38
20,2712,4,大名城B(900940)龙虎榜数据(07-25),07-25 04:59
21,2125,0,大名城B7月26日快速上涨,07-26 09:37
22,2248,3,主力：小样，我拉不动A还拉不动你吗？[笑哭],07-25 11:17
23,2137,1,还未见过如此低的股价,07-21 11:46
24,2158,0,鸡犬升天了,07-25 02:27
25,2088,0,大名城B7月25日快速上涨,07-25 09:39
26,1796,0,大名城B7月10日快速反弹,07-10 09:46
27,1804,0,大名城B6月14日快速回调,06-14 09:44
28,1809,0,大名城B6月13日快速上涨,06-13 10:16
29,1805,0,大名城B6月9日快速反弹,06-09 09:45
30,1797,0,大名城B6月9日快速回调,06-09 09:43
31,1893,0,大名城B6月2日快速回调,06-02 11:23
32,1885,1,大名城B6月2日快速反弹,06-02 09:41
33,1903,0,大名城B6月1日快速反弹,06-01 09:30
34,1894,0,大名城B5月31日盘中跌幅达5%,05-31 01:49
