,read,comment,title,time
0,425,3,今天，钉上了耻辱柱！,10-13 02:38
1,285,0,皇庭B10月16日快速反弹,10-16 11:11
2,461,0,皇庭B10月11日快速反弹,10-11 10:12
3,457,0,皇庭B10月11日盘中跌幅达5%,10-11 10:06
4,1589,2,皇庭B8月31日快速反弹,08-31 02:49
5,2308,1,看看*ST山航B退市，200056你的末日也快到了,06-08 11:18
6,1220,1,滚出板块,09-19 11:02
7,1393,0,皇庭B9月6日快速回调,09-06 10:28
8,1576,0,皇庭B8月31日盘中跌幅达5%,08-31 01:22
9,1758,0,皇庭B8月25日快速反弹,08-25 02:34
10,2574,4,连续20个交易日低于一元是否退市呢？,07-22 04:23
11,2105,0,皇庭B8月11日盘中跌幅达5%,08-11 10:59
12,2301,1,A股面值不跌破一元就不能退市,07-27 02:31
13,2129,0,皇庭B7月25日盘中涨幅达5%,07-25 01:04
14,2121,0,皇庭B7月25日快速反弹,07-25 09:41
15,2131,0,皇庭B7月21日快速回调,07-21 01:22
16,2121,0,皇庭B7月21日快速上涨,07-21 09:42
17,2036,2,皇庭B7月12日快速反弹,07-12 02:53
18,2226,0,连续二天天股价低于面值会退市吗？,07-08 07:55
19,2042,0,皇庭B6月16日快速反弹,06-16 09:38
20,2034,0,皇庭B6月15日盘中涨幅达5%,06-15 02:43
21,2041,0,皇庭B6月15日快速上涨,06-15 01:14
22,2277,0,下午继续加油砸跌停，你不跌停都不正常。,06-09 11:47
23,2381,0,股价低于1块钱会被终止交易吗？,06-05 01:57
24,2204,1,皇庭B6月1日快速反弹,06-01 09:56
25,2181,0,皇庭B6月1日盘中跌幅达5%,06-01 09:50
26,1999,0,皇庭B5月31日盘中跌幅达5%,05-31 10:11
27,2255,2,皇庭B(200056)龙虎榜数据(05-30),05-30 04:29
28,1861,4,皇庭B5月30日盘中跌停,05-30 10:06
29,2294,0,皇庭B5月17日快速反弹,05-17 11:05
30,2811,0,皇庭B5月8日盘中跌幅达5%,05-08 10:13
31,2855,0,皇庭B(200056)龙虎榜数据(04-28),04-28 04:49
32,2553,1,皇庭B4月24日快速反弹,04-24 10:03
33,2967,1,特大利空！传闻牛散钟革这周会清仓皇庭国际A股后去举牌回购全部才折合人民币不到1块,04-19 10:02
34,2838,1,这么多闲人，不多我一个，成交才十多万,04-20 11:09
35,2585,0,皇庭B4月19日盘中跌停,04-19 01:38
36,2711,0,皇庭B4月19日加速下跌,04-19 09:51
37,2774,0,皇庭B4月19日盘中跌幅达5%,04-19 09:51
38,758,0,皇庭B1月18日快速上涨,01-18 09:31
39,565,0,皇庭B1月18日快速上涨,01-18 09:30
40,600,0,皇庭B1月12日快速反弹,01-12 09:35
41,2118,0,皇庭B11月30日快速回调,11-30 01:50
42,1121,0,皇庭B11月30日快速反弹,11-30 10:52
43,2071,0,皇庭B11月15日盘中涨幅达5%,11-15 11:26
44,1394,0,皇庭B11月15日快速反弹,11-15 09:46
45,1213,0,皇庭B11月9日快速上涨,11-09 09:40
46,1934,0,皇庭B8月29日快速反弹,08-29 09:39
47,2168,0,皇庭B8月12日快速上涨,08-12 10:17
48,2014,0,皇庭B8月11日快速反弹,08-11 02:16
49,2248,0,皇庭B8月8日快速上涨,08-08 09:45
50,2865,0,皇庭B(200056)龙虎榜数据(08-05),08-05 05:09
51,2154,0,皇庭B8月5日快速回调,08-05 02:20
52,2215,0,皇庭B8月5日盘中涨幅达5%,08-05 09:40
53,2265,0,皇庭B8月3日快速反弹,08-03 02:55
54,2249,0,皇庭B8月2日盘中跌幅达5%,08-02 11:28
55,2354,0,皇庭B7月29日盘中跌幅达5%,07-29 10:13
56,2161,0,皇庭B7月28日快速反弹,07-28 10:23
57,2224,0,皇庭B7月27日盘中跌幅达5%,07-27 10:36
58,2341,0,皇庭B7月27日快速反弹,07-27 10:29
59,2803,0,皇庭B(200056)龙虎榜数据(07-26),07-26 04:35
60,2176,0,皇庭B7月26日盘中涨幅达5%,07-26 01:28
61,2304,0,皇庭B7月25日快速反弹,07-25 10:15
62,2236,0,皇庭B7月21日盘中涨幅达5%,07-21 12:09
63,2306,0,皇庭B7月21日快速上涨,07-21 12:06
64,2317,0,皇庭B6月20日快速回调,06-20 10:23
65,2416,0,皇庭B6月20日快速上涨,06-20 10:15
66,2347,0,皇庭B6月20日盘中涨幅达5%,06-20 10:15
67,2303,0,皇庭B6月14日快速反弹,06-14 10:34
68,2374,0,皇庭B6月13日快速反弹,06-13 11:13
69,2323,0,皇庭B6月8日快速回调,06-08 10:44
70,2391,0,皇庭B6月8日快速反弹,06-08 10:43
71,2518,0,皇庭B6月6日快速反弹,06-06 10:19
72,3327,0,皇庭B5月25日快速反弹,05-25 11:00
73,2796,0,皇庭B5月23日快速反弹,05-23 09:44
74,3634,0,皇庭B5月20日快速反弹,05-20 09:41
75,3691,1,皇庭B(200056)龙虎榜数据(05-19),05-19 04:24
76,3551,0,皇庭B5月19日打开涨停,05-19 09:56
77,3625,0,皇庭B5月19日盘中涨停,05-19 09:53
78,3613,0,皇庭B5月19日盘中涨幅达5%,05-19 09:44
79,3466,0,皇庭B5月19日快速上涨,05-19 09:43
80,2358,0,皇庭B股一直拖后腿，就没有起过一点好头。应该回购注销。或者按现有价分配给现在持有,06-02 02:46
81,2331,0,B股又快跌停了,06-01 09:51
82,2485,2,B股跌破1元，连续二十天，但A股还在1元以上，B股会退市吗？,05-30 05:16
83,2018,0,还差四分钱又是一个跌停。废了,05-31 10:22
84,2008,2,这货还能撑住一元咱时还退不了,05-25 10:06
85,1868,2,我为啥买不了啊,05-30 10:46
86,1854,0,今年房地产股退市，是有指标吗[哭],05-30 10:43
87,2001,0,跌破一元到0.99元，祝你快点退市！,05-25 04:08
88,2541,1,皇庭B还有2个交易日（22日）公佈转型芯片股的后继落实消息，老股民知道：央企东方,05-17 09:57
89,2385,0,……,05-05 09:23
