,read,comment,title,time
0,45,0,转发,10-25 07:34
1,252,0,吃了砒霜了,10-10 09:59
2,386,0,海欣Ｂ股8月31日盘中跌幅达5%,08-31 11:31
3,467,0,买B股也做短线？难怪涨不上去！,08-28 04:08
4,806,1,破净市值管理，这个票应该在0.43左右,08-20 12:32
5,430,0,海欣Ｂ股8月18日盘中跌幅达5%,08-18 10:06
6,614,1,海欣在此位置缩量，大有再起一波的可能。,08-16 01:54
7,922,6,"B股强于A,只能理解为股价要趋于同股同价---即合并",08-11 07:38
8,727,2,明天分红到账，直接拉涨停带动a股涨停,08-09 03:12
9,656,2,7月27日分红，8月10日才到账,08-10 11:50
10,654,0,剥皮啊，这点利息还收这些税,08-10 03:05
11,503,0,海欣Ｂ股8月10日盘中涨幅达5%,08-10 02:51
12,1286,3,海欣的大肠癌抗癌药三期临床实验成功消息确认，那么A股年内上30元，b股估计2美元,08-06 10:10
13,676,1,A股涨停，B股跟3个点，A股跌10个点，B股跌6个点，跟跌不跟涨？,08-08 02:01
14,466,3,难道B转A？,07-12 02:50
15,653,0,B股没人买呀,08-08 01:54
16,620,0,B股加油呀！,08-08 01:52
17,775,10,3个8年了，鼻涕塌了[哭],07-28 03:07
18,517,0,海欣Ｂ股8月7日盘中跌幅达5%,08-07 10:03
19,7232,24,海欣股份价值深度挖掘,11-10 07:59
20,983,0,虽然海欣B股先行一步开涨，但是比起今天的海欣A股涨停板气势，我们B股还显差距。但,08-04 06:43
21,663,0,大单买小单卖，小散挣点小钱就跑了？,08-04 02:45
22,691,0,10号前卖了还有红利吗？,08-04 01:24
23,740,2,众人拾柴火焰高！就2元一股，换点美元买买买！,08-03 02:00
24,629,3,国企改革概念股，借壳上市成本最低的上市公司,07-24 11:01
25,859,4,暂时要调整几日，涨幅大了，最近要整治医药行业腐败。顺势洗盘就是很好的选择。今天早,08-01 09:31
26,412,2,今天给钱到账吗,07-27 10:04
27,657,0,八月十号主升浪开启，分红到账了，不是的话都会拿来补仓,07-28 07:04
28,557,3,一直有大单在底部买！十年没行情，但愿这次能到一美元！,07-28 11:04
29,348,1,开盘跌还在吸筹，连续拉升后开盘跳空高开就是出货时[大笑][大笑][大笑],07-28 09:58
30,389,1,这个红利啥时候到账一股0.006,07-27 10:15
31,683,3,为啥一直跌呢？,05-31 09:58
32,347,1,摆明要涨一波，还有人卖？,07-27 10:20
33,377,0,明显是有机构在持续买B股，怎么还会有人卖呢？,07-27 11:26
34,417,1,做b股27年得出的结论就是：腰斩开始补偿，翻倍开始清仓[大笑][大笑][大笑],07-25 04:33
35,410,0,十年没行情！最近好像有资金在向上运作！不知有什么隐藏的利好？跟风买点，也就2元钱,07-24 10:59
36,471,3,今天做t的傻眼了，任何价位卖出都买不回来，百手以上散户慎重做t,07-21 02:59
37,348,1,底部放量大阳线？有点意思！跟着买点。,07-21 02:56
38,326,1,本来就很低，还有卖盘？反弹一点真难！,07-21 11:08
39,550,0,我发的六赢方案为什么被删了，我猜国开证券借壳上市，增发a股置换b股，注入优质资产,07-15 03:02
40,465,3,亲，还是b股给力哦，很好的，很好的，很好的。,07-12 05:47
41,1099,3,同股不同价的怪胎B股何时能与A股合并？差三倍多的价格，大股东也不回购，说明企业不,05-11 09:43
42,762,2,海欣B股(900917)龙虎榜数据(07-12),07-12 04:59
43,326,1,.29美元，约2元人民币，A股6块多。就是取个中间价，也得有50涨幅。而且，A股,07-12 02:55
44,256,0,合并了合并了。抢啊,07-12 02:46
45,199,0,海欣Ｂ股7月12日盘中涨幅达5%,07-12 10:20
46,170,0,海欣Ｂ股7月12日快速上涨,07-12 10:14
