,read,comment,title,time
0,27,0,任何跌到30年前（只有康佳B，人民币为1元）的原始股价位，且不会成为ST的股都是,10-25 10:45
1,32,0,从性价比看，晨鸣B的股价应该在康佳之下才合理，所以今天才有大单进入。康佳B是国有,10-25 10:18
2,80,0,深康佳Ｂ10月24日快速上涨,10-24 10:37
3,128,0,AB股差价如此之大，造成国有资产重大流失，让外国投资扯证的盆满钵满。,10-22 07:53
4,343,0,大泽湖，以「未来之城」致璀璨长沙,10-20 05:56
5,1586,3,康佳集团2023半年度业绩报告披露：“一轴两轮三驱动”构建长期价值,09-07 11:31
6,224,0,深康佳Ｂ10月18日快速反弹,10-18 09:41
7,420,18,康佳B，该止跌了！一元多的芯片概念股，买入，待收益！,10-17 10:53
8,275,1,深康佳Ｂ10月16日快速反弹,10-16 09:40
9,436,0,深康佳的芯片呢？,10-12 10:22
10,1287,2,我只想问一句：康佳A没怎么跌，为什么康佳B会跌成这样？天天跌，A、B股的价格都快,09-21 01:26
11,474,0,执掉康佳B啦，外眼，这个钱又食不饱，总共都是点点钱，持有康佳A的会怎么想？,10-11 10:26
12,841,1,康佳B这样跌，是不是要ST呀,10-02 12:04
13,2639,3,康佳养了82家创投公司，这些创投公司有创意 创新科技转化为生产力？靓仔董事长你以为自己是孙正义呀？,08-31 04:49
14,631,2,五年磨一剑 康佳洗衣机后来居上,10-09 06:03
15,624,0,一个老板大点的都能抬起几亿港股，,10-09 07:07
16,2097,4,谁人在1.4卖出20万股，有人知道是什么意思吗？,07-18 11:38
17,1000,1,[呲牙]长年破净不回购注销股份的公司肯定有鬼，必须严查。,09-26 11:49
18,910,0,深康佳Ｂ9月27日快速反弹,09-27 09:37
19,1043,1,为什么康佳B股跌成狗,09-25 11:07
20,1159,2,深康佳Ｂ9月19日盘中跌幅达5%,09-19 02:12
21,1345,0,买不了，说没开通股东账户，什么鬼,09-11 10:14
22,1487,0,康佳白电闪耀IFA2023 长期主义下凸显飞轮效应,09-07 05:55
23,1634,0,一万元拿十年变成2千元。什么鬼公司！,09-01 09:54
24,1544,0,深康佳Ｂ8月31日盘中跌幅达5%,08-31 01:43
25,1800,0,“感官觉醒 自由享受”，康佳发布Mini QD-LED感官旗舰R7新品,08-28 10:39
26,1681,0,MLED走到哪一步？康佳、大华半年报披露,08-28 06:06
27,1751,0,智能时代水土不服，另寻出路的康佳如今怎么样了？,08-28 08:34
28,1927,0,三大引擎驱动  康佳空调蓄势待发,08-21 06:05
29,2034,0,“老师傅”牵手数字“新搭档”，传统交运企业跑出逆势增长,08-18 09:17
30,2093,0,专业化发展丨康佳集团践行“一轴两轮三驱动”，向市争优、励精更始,08-15 02:36
31,2107,1,今天的总金额还没我在a股的多[大笑][大笑][大笑][大笑],07-20 02:17
32,2785,8,转发—请证实一下外界传闻：华为的子……,07-26 09:01
33,2499,8,转发…请证实一下外界传闻：华为的子……,07-26 08:58
34,1919,1,康佳白电2023年核心客户峰会暨臻彩系列洗衣机新品发布会圆满落幕,07-21 07:57
35,2452,3,(有线电视）广电板块投资机会（一）,07-20 11:20
36,2282,1,深康佳A发布半年业绩预告：回归主业，聚焦长期价值,07-18 04:58
37,1986,1,看走势估计又一波大涨行情。,07-04 02:55
38,1869,1,彩电市场掀起新一轮涨价潮，涨幅最高达30%,07-14 03:40
39,1857,1,深康佳Ｂ6月20日快速反弹,06-20 09:38
40,2470,4,深康佳（000016）走势分析,06-07 08:29
41,3326,4,电视厂商掀起新一轮涨价，线上线下都不放过,07-04 08:21
42,3144,3,面板价格跳水后反弹，电视厂商掀起新一轮涨价，线上线下都不放过,07-03 05:59
43,2063,2,楚天龙(003040.SZ)发布公告，康佳集团于2023年01月30日—2023,07-03 09:07
44,1720,0,筑梦中国“芯”：康佳集团争做高水平科技自立自强“排头兵” | 公司汇,07-03 05:00
45,1676,0,筑梦中国“芯”：康佳集团争做高水平科技自立自强“排头兵” ,07-03 04:53
46,2617,0,昨天一手一手卖的今天不动作了，什么意思？,06-28 02:41
47,2527,2,深康佳的朋友们你们好，回娘家看看，此股按照技术分析来说，无量下跌，暂时看不出主力,06-27 06:31
48,1952,0,朋友们能不能知道康佳B都是一手一手的卖是什么意思？,06-27 02:34
49,1940,0,今天深康佳B为什么都是100股卖的那么多，每单交易手续费都要5元以上，这样卖不是,06-26 08:16
50,2733,9,智能电视这样做，会越走越窄。,06-03 08:26
51,2780,18,康佳的朋友你们好嘛，首先澄清英姿把我拉黑了，技术分析此股股价依然股价在20，60,06-09 08:01
52,2675,2,6.5：早盘策略,06-05 09:20
53,1742,1,康佳冰箱获三项大奖背后：踏准节奏为中国家电行业创新突围探路,06-05 04:40
54,2311,1,康盈半导体！存储芯片高成长企业,05-26 08:54
55,1677,0,通过场景驱动、技术创新，康佳集团开辟冰箱市场新机遇,06-05 11:01
56,1817,1,b股退市，A股还在怎么办,05-31 11:10
57,1869,0,港币太值钱，可79元人民币可换100元港币！小心点！别大贪了！,06-01 11:10
58,1935,0,深康佳五月日记,05-29 08:49
59,1857,0,RAB股共同股同权．B股股价不到A股三分之一！B股庄可能不不是地球人吧！,05-31 02:58
60,2001,0,深康佳是一只正在振翅的鹰，跃渊的龙，一骑绝尘腾空出栏的黑马！赌好你！,05-31 12:13
61,1714,0,深康佳Ｂ5月31日盘中跌幅达5%,05-31 11:01
62,1709,0,"43周年庆,康佳的促销更喜庆",05-29 06:28
63,1897,0,这厮今天给出了一个十字架图像，啥意思？,05-27 12:09
64,1806,0,康佳集团：高水平科技自立自强 为下一代显示技术量产贡献中国方案,05-26 12:16
65,1654,0,最好是回购注销,05-26 11:34
66,1598,0,深康佳Ｂ5月26日快速回调,05-26 09:41
67,1758,2,这厮会成仙么？,05-22 01:13
68,4942,22,康佳集团连年亏损反而股东盈利？背后暗藏危机,07-21 06:12
69,1889,1,5元的A股，1元多的B股，真是奇葩。不要求别的，只要求同股同权,03-30 10:20
70,1932,1,假如深康佳B跌进一港元三个月，而深康佳A一直在三元以上，试问：深康佳会不会被摘牌,03-28 08:31
71,2009,2,强烈呼吁：深康佳AB股合并，同股同价！！,04-26 09:50
72,1698,2,康佳B，一定会牛B，两年之内，涨三倍至十倍。有人相信吗？,04-17 05:16
73,1597,0,，要求同股同权。,04-25 01:55
74,1231,0,深康佳Ｂ4月25日盘中跌幅达5%,04-25 01:32
75,1285,1,现在还在一直卖的是吗,04-24 02:34
76,1886,0,A股低位反弹了十个点，B股屡创新低，卖的人缺钱了吗？还是家里有啥事？这个点位还没,03-31 09:45
77,1234,0,应了一句话，这B股。,03-24 07:46
78,1614,0,我1997年买进康佳B，已经26年了，没赚多少钱，这B股该改革了,03-02 03:26
79,1778,0,B股改革迫在眉睫！！,02-08 10:15
80,1990,1,主力到底在干什么？大盘涨那么多！,12-05 02:22
81,1950,2,这个股是停牌了吗，怎么没动静呢，没一单交易？,01-06 09:57
82,667,0,深康佳Ｂ1月31日开盘跌幅达5%,01-31 09:31
83,540,0,深康佳Ｂ1月31日开盘跌幅达5%,01-31 09:30
84,2410,9,为何说这个产业园建成投产对中国新显示产业意义重大？,10-10 05:10
85,3341,1,这样的交易量应该直接退市,12-28 12:07
86,1607,0,停牌算了吧,11-23 09:36
87,1748,0,港股居然没人买？这么垃圾吗,11-17 11:32
88,1997,0,无耻至极！！！！,09-27 01:37
89,3147,3,分红到账没,06-14 01:10
90,3380,0,今难得好现象：机构进小散出,08-05 01:39
91,2343,0,耻没底线！,07-22 10:30
92,2314,0,干股停盘,07-13 10:01
93,3318,1,$深康佳Ｂ(SZ200016)$地下室的价格了，还跌？！,07-04 10:51
94,2360,0,$深康佳Ｂ(SZ200016)$无耻！,07-05 10:27
95,4751,1,2元的康家B持有的上市公司情况一览,01-18 10:00
96,2309,0,深康佳Ｂ7月1日快速回调,07-01 10:33
97,2445,0,深康佳Ｂ7月1日开盘涨幅达5%,07-01 09:30
98,2373,0,深康佳Ｂ7月1日快速上涨,07-01 09:30
99,2335,2,家电巨头康佳集团 大举进军光伏赛道！,06-26 10:44
100,3576,0,深康佳A快涨停了，B股还在磨磨蹭蹭,06-15 11:26
101,3539,0,深康佳Ｂ5月12日快速反弹,05-12 10:01
102,3527,0,深康佳Ｂ5月9日快速反弹,05-09 10:38
103,3343,0,深康佳Ｂ5月6日快速反弹,05-06 10:33
104,3448,0,深康佳Ｂ4月28日快速反弹,04-28 02:53
105,3332,0,深康佳Ｂ4月27日快速回调,04-27 11:13
106,4030,1,大股东现在回购B股是千载难逢的好时机。,04-08 09:58
107,2029,2,河南新飞：强化自主创新能力，做强做优民族品牌,04-02 04:51
108,4285,2,深康佳A2021年度拟10派0.5元，深康佳B又怎样分？？？,03-29 09:31
109,4200,0,深康佳Ｂ3月16日快速反弹,03-16 10:18
110,3860,0,深康佳Ｂ3月16日快速回调,03-16 09:53
111,3964,0,深康佳Ｂ3月8日快速回调,03-08 11:11
112,3784,0,$深康佳Ｂ(SZ200016)$你凭什么跌这么多！！,03-07 03:01
113,2673,0,$深康佳Ｂ(SZ200016)$,03-02 10:09
114,3768,0,股谚语:宁买当头升、莫买当头跌，大家可以换股同样是AB股差价超大的华发B，或许有,02-20 09:46
115,3802,1,这个股如何？可以进了吗？,02-09 04:26
116,3844,1,我怎么不能买呀！说没有该股东帐号，怎么回事？,01-28 02:09
117,4725,2,我为什么能买A股却买不了B股，,08-13 10:43
118,4130,0,每股净资产3.35元，现价2.14,01-25 05:35
119,1063,2,健康家电驶入增长快车道，康佳白电何以率先突围？,01-24 05:27
120,4378,0,十四五数字规划，内容上轮到康佳了,01-13 06:53
121,4171,0,估计是要启动了[让我看看][主力][梭哈][看多][献花],01-13 06:51
122,4065,0,买不到了明天，才看到这只[看多],01-12 06:03
123,4139,0,今天跌停你就买，不跌停不要买，兆新股,01-11 08:50
124,730,0,粤高速B的业绩和分红会怎么样？,01-05 09:19
125,866,2,康佳的品牌故事片为什么选择他们？,12-28 09:11
126,5411,0,深康佳B即将展开一轮波澜壮阔的上升，股价翻番。,12-17 05:34
127,4496,4,能不能直接把B回购了,11-02 02:56
128,5590,2,深康佳Ｂ11月30日快速上涨,11-30 01:05
129,10306,4,各个均线完美，等待下个月拉升！,09-29 03:06
130,4844,0,康佳这次收购完毕，年底半导体开始量产，后续利好不断。随着科技转型成功，2022年,09-12 10:15
131,3034,0,涨不动了，出货,09-27 09:44
132,3776,0,A红盘，你跌这么多，逗比！,09-22 05:00
133,3941,0,深康佳Ｂ9月16日快速反弹,09-16 09:45
134,4006,1,对老股东的重大利空,09-13 09:52
135,4012,3,RMB6.09元的发行价，给一个B股下跌的理由！,09-13 01:01
136,3061,0,脑瓜子嗡嗡的吧,09-13 08:30
137,3022,0,想太多了,09-13 12:19
138,3512,0,深康佳Ｂ9月13日快速回调,09-13 09:59
139,3714,2,B股没十个板是抢不到手的。,09-11 11:21
140,3281,0,深康佳Ｂ9月13日打开涨停,09-13 09:32
141,3301,0,深康佳Ｂ9月13日开盘涨停,09-13 09:26
142,4143,0,这个买入比较即使吧，还是亏了卖了本钢B买的康佳B，,09-12 01:34
143,3600,1,深康佳B在下一盘很大的棋，历史机遇就是现在开始，以后利好消息不断，这次星期一复牌,09-10 06:40
144,3826,3,王者归来，荣耀公司重新启航。,08-12 09:56
145,3597,0,第一目标3.35，,09-03 12:47
146,4645,0,我早就说过必然王者归来啦，看好收购成功后复牌连续涨停至5元上方，终极目标就是B股,08-31 10:15
147,2569,1,停牌了,08-30 09:51
148,3497,0,深康佳Ｂ8月30日快速反弹,08-30 09:52
149,4189,0,康佳也是做家电的，这么多年了没长进。最近支持了康佳一下，拼多多买了个单人用小冰箱,08-26 01:56
150,4086,2,不懂造成A/B股差价不同的原因,08-18 01:42
151,3593,0,连续十几个5手的成交是什么意思。不会都是一次买500股吧。,08-24 11:01
152,3414,1,无厘头的B股,06-04 02:43
153,3546,2,[得意][得意]2.42砸出了一大半,08-12 12:09
154,3356,0,B股开始发力了，确定性机会,08-12 03:14
