,read,comment,title,time
0,82,0,心安理得！[下跌][哭][下跌][下跌][哭][下跌][下跌][下跌],10-23 02:27
1,133,1,不懂就问，这个是以港币标价还是人民币标价的？分的红是港币还是人民币？谢谢！,10-21 10:27
2,313,0,这一波沪深B股跌约13% 感觉粤高速B有补跌的可能,10-16 08:10
3,6278,33,粤高速B、长安B二只股谁有投资价值？,10-11 07:23
4,734,2,今年国庆中秋广东高速车流量达历史高峰，三个月后的春节毫无悬念再创记录，源于汽车持,10-04 01:39
5,1119,1,市场比较喜欢确定性分红的高速公路了。,09-21 02:41
6,1287,3,这股已经成了定存了，基本没什么波段空间，每个月都在新高，但涨幅很少，类似于国债e,09-18 02:58
7,11094,16,B股转板参照？安道麦B依法维权主动争取，仅作讨论。,02-13 01:48
8,1398,3,200429粤高速B每分钟一手买入，这是量化还是啥？系统设定的自动买入吗？,09-14 02:56
9,1343,8,这股前面涨了不少，现在进会不会是高位呢？,09-15 11:34
10,1239,2,现在卖出是不是股汇双丰收？！,09-14 02:19
11,1273,2,这个票，只进不出，波动小不深调，不适合做小波段，大波段也就10%，抓的好可T六七,09-13 08:49
12,1265,0,真牛逼,09-12 12:44
13,1368,0,十派五改十送五，有点风。,09-12 10:57
14,1746,2,最希望跌的就是这货，没有之二。越跌越买。大A都是这种股的话，慌个毛,09-02 10:05
15,1382,1,优秀。看样子三季度的业绩有戏,09-07 10:03
16,1507,0,粤高速B今年股价涨了4毛多港币，分红0.46港币，汇率收益4毛多，,09-07 12:58
17,1601,1,4季是淡季，另外可能发布定增预案,08-31 11:55
18,1634,2,上B全线爆跌，多家跌停了,08-31 02:07
19,1608,0,B股红利发放境内个人与A股一样按持股时间长短差别化扣税，境外个人不扣税，境外机构,08-31 06:36
20,1640,2,不要涨啊，涨了明年分红后就买的少了,08-29 01:45
21,1710,7,择机加仓,08-29 06:52
22,1748,3,咋天公报半年报宁沪高速业绩优秀，行业经营向好，A股依然下跌，港H股则创三个月新高,08-28 01:28
23,1631,0,业绩不错哦,08-28 07:58
24,1905,0,承诺期不降2022念计算在内，而加入2023年的收益，这个股东会议题，我投了反对,08-24 10:12
25,1805,2,明天投反对票，否决大股东流氓行为。,08-22 03:47
26,1873,0,今天别忘了投反对票，坚决抵制补偿款改变方式。维护大家的权利。,08-23 08:07
27,1882,2,尾盘是哪个神经打上去的,08-19 09:21
28,1839,0,B股的价值投资，不是整体搬迁，而在于条件成熟时公司回购。,08-21 10:59
29,3238,9,B股整体搬迁？B股只能等整体搬迁，政府行为….一年后还是五年后乃至十年后，,08-17 08:29
30,3161,8,粤高速2023年业绩数据详细分析！！！,04-29 11:18
