,read,comment,title,time
0,50,0,开开Ｂ股10月25日快速反弹,10-25 10:20
1,549,1,听说开开股份为了做大做强医药商业和互联网医疗，公司要实施重组A、B要合并，是真的,10-13 09:54
2,544,0,这破股有啥用,10-12 10:42
3,615,0,开开Ｂ股10月10日快速反弹,10-10 09:37
4,612,0,开开Ｂ股10月10日快速回调,10-10 09:35
5,1181,0,仙股？,09-26 10:37
6,2128,5,这个怎么买？我们都买不成,08-25 02:25
7,1384,1,股票市场有个好名字很重要！,09-19 10:21
8,1587,2,这个位置抛出的都是神童级别的高手啊,09-07 11:04
9,2577,8,这就是有庄和没有庄的最大区别！,08-16 10:25
10,1857,1,开开B股(900943)龙虎榜数据(08-31),08-31 05:14
11,2117,1,名字没叫好，开开屁股。,08-23 09:51
12,1757,0,开开A今年涨了72%，开开B竞然跌了8.68%,08-31 01:45
13,1673,0,开开Ｂ股8月31日快速上涨,08-31 01:36
14,2480,1,开谁逼？,08-17 04:11
15,2367,2,为啥没人买,08-22 02:02
16,2602,3,牛逼！上海开开实业SPD都有收入了！这次上海13部门联合，可见力度前所未有！开开,08-12 11:15
17,2305,1,开开Ｂ股8月18日盘中跌幅达5%,08-18 10:31
18,2537,3,快来救救开开B股吧。,08-17 04:50
19,2447,0,应该为开开B单独发一个公告，告诉投资者开开实业没有倒闭的风险。,08-18 10:46
20,2425,0,，一点不错,08-18 09:37
21,2545,3,垃圾一个涨停都没有，那个孙子在砸。,08-16 02:14
22,2539,3,他NND三毛B跟三毛A，你这孙子不跟。,08-16 10:42
23,2360,2,开开Ｂ股8月17日快速反弹,08-17 09:39
24,2538,1,这名字，哈哈哈[笑哭][笑哭][笑哭][笑哭],08-16 03:05
25,2312,7,开开实业？,08-16 09:44
26,2403,0,开开Ｂ股8月16日盘中跌幅达5%,08-16 10:43
27,2393,0,开开Ｂ股8月16日快速回调,08-16 10:19
28,2309,0,开开Ｂ股8月16日快速反弹,08-16 09:46
29,2054,1,这名字不是来搞笑的？？？开开b[大笑][大笑][大笑][大笑][大笑][大笑][,08-14 01:12
30,2596,2,牛逼！上海开开实业SPD都有收入了！这次上海13部门联合，可见力度前所未有！开开,08-12 11:18
31,1980,2,开开Ｂ股8月14日快速反弹,08-14 09:35
32,2125,0,怎么买不了,08-14 01:42
33,1798,0,果然是个b股[呲牙],08-11 08:26
34,1844,2,开开屁股,08-09 01:55
35,1785,0,开开Ｂ股8月11日快速上涨,08-11 09:38
36,4515,8,政策上对于医药扶持力度在持续加大，近1月净流入已经达到6.3亿元,08-09 04:33
37,1792,0,开开Ｂ股8月10日快速反弹,08-10 09:35
38,1851,1,开开B还能跟吗？哪位大佬给个建议,08-09 12:52
39,1999,0,开开实业没有启动，b股没有打开空间,08-03 02:38
40,2050,0,中路b，中路b900915，上午暴利，全上，干,08-01 07:29
41,2218,0,B股？是开开实业吗,07-24 09:33
42,2173,0,中路b，中路b900915，下午暴利，全上，干,07-19 11:56
43,2907,0,*st华电B，起来了！众多利好，请查公告分柝。上B界里今年翻倍倍的个股，个人浊见,03-07 09:09
44,2191,0,这是来点个名吗,07-07 02:01
45,2188,0,小开开B小玩闹。,07-03 10:51
46,2112,0,本人真是准，出利好了，   凯马b900953,06-18 09:02
47,2564,1,B股,04-19 01:41
48,2339,3,开开Ｂ股3月10日快速反弹,03-10 10:14
49,961,0,开开Ｂ股1月3日快速反弹,01-03 09:41
50,957,0,开开Ｂ股1月3日快速回调,01-03 09:38
51,969,0,开开Ｂ股12月30日快速回调,12-30 10:08
52,858,0,开开Ｂ股12月30日快速上涨,12-30 10:03
53,649,0,开开Ｂ股12月30日快速反弹,12-30 10:01
54,1154,0,开开B股(900943)龙虎榜数据(12-29),12-29 04:34
55,696,1,开开Ｂ股12月27日快速回调,12-27 09:36
56,687,0,开开Ｂ股12月29日快速回调,12-29 10:30
57,666,0,开开Ｂ股12月29日盘中涨幅达5%,12-29 10:16
58,657,0,开开Ｂ股12月29日快速上涨,12-29 10:15
59,670,0,开开Ｂ股12月26日快速反弹,12-26 10:13
60,694,0,开开Ｂ股12月26日加速下跌,12-26 10:07
61,695,0,开开Ｂ股12月26日快速回调,12-26 09:38
62,739,0,开开Ｂ股12月23日打开跌停,12-23 02:21
63,741,0,开开Ｂ股12月23日盘中跌停,12-23 02:18
64,739,0,开开Ｂ股12月23日快速反弹,12-23 11:07
65,643,0,开开Ｂ股12月23日盘中跌幅达5%,12-23 11:02
66,736,0,开开Ｂ股12月19日盘中跌幅达5%,12-19 10:57
67,686,0,开开Ｂ股12月19日快速回调,12-19 09:43
68,707,0,开开Ｂ股12月15日快速反弹,12-15 09:39
69,722,0,开开Ｂ股12月14日快速反弹,12-14 09:45
70,760,0,开开Ｂ股12月13日快速回调,12-13 09:39
71,759,0,开开Ｂ股12月12日盘中涨幅达5%,12-12 10:57
72,722,0,开开Ｂ股12月12日快速上涨,12-12 09:39
73,635,0,开开Ｂ股12月7日快速上涨,12-07 09:48
74,931,0,开开Ｂ股12月6日盘中跌幅达5%,12-06 02:24
75,521,0,开开Ｂ股12月5日盘中涨幅达5%,12-05 09:54
76,510,0,开开Ｂ股12月5日快速上涨,12-05 09:44
77,454,0,开开Ｂ股12月1日加速下跌,12-01 10:25
78,476,0,开开Ｂ股11月29日快速上涨,11-29 10:19
79,549,0,开开Ｂ股11月29日盘中涨幅达5%,11-29 10:16
80,2615,7,开开A股被机构炒翻倍，B股如同僵尸，这就是所谓的冰火两重天啊！有机构与没有机构的,08-16 10:29
