,read,comment,title,time
0,118,0,每天挂1.300，[拜神][拜神][拜神],10-23 11:26
1,248,0,拿下1.435？[呲牙],10-20 10:51
2,416,4,1.50了，买不买啊？,10-16 01:13
3,369,0,锦江Ｂ股10月16日盘中跌幅达5%,10-16 02:22
4,1362,3,节前翻日记，翻到两个记忆深刻的内容以及当时的一些思考和决定：第一个是2020年5,09-28 03:33
5,2524,10,【重大利好】,07-21 01:42
6,552,0,汽车股都快涨接近4%了，B股唯一的汽车股900953凯马怎么还不动，美金呢,10-12 11:46
7,3231,13,【B股的价值】,04-01 07:53
8,3153,16,【反向思考】,02-11 01:41
9,1012,1,转发,09-28 03:26
10,1071,0,节前还得瑟不？,09-27 11:00
11,1106,6,上面码了500手，要不要吃掉它呢？[为什么],09-26 09:55
12,1112,0,快给，294手在下面托盘！,09-25 02:52
13,1126,0,AB股合并路在何方,09-25 01:18
14,1207,1,昨天的一千多手哪里去了，睡一觉忘记了，还是天没亮啊？,09-22 10:06
15,1558,3,在人类的历史长河里：天下大势，分分合合。作为开放的经济体，外汇亦进进出出，汇率起,09-11 03:26
16,1222,1,美元开始下跌，你明天不涨就对不起大家咯！,09-20 11:18
17,1924,9,锦江B股8月28日获我增持5000股[偷笑][偷笑][偷笑],08-29 09:29
18,1400,0,锦江Ｂ股9月8日快速反弹,09-08 09:53
19,1555,2,12元的锦江酒店，买定离手，长期持有，吃股息就可以了，如果能上3美元以上，就可以,09-07 12:25
20,1804,2,不让多说，各位吧友自己看想,09-01 12:15
21,1665,0,牛市结束，熊市开始,08-31 11:12
22,2406,4,今天中午同学聚会，做自动仓储生意全国跑的班长抱怨说今年旅游的人多酒店都涨价，什么,08-16 06:35
23,1784,0,富国基金再减持[怒][怒][怒][怒],08-28 04:05
24,1835,1,是不是有卖日本海鲜啊这货,08-26 04:59
25,1999,1,和锦江股友们共享,08-22 10:45
26,1768,0,整个板块被你带崩垃圾,08-28 12:06
27,2658,11,否极泰来，乌鸡变凤凰！！！,08-28 07:02
28,2082,0,感觉B股至少能到A股股价的一半，这样才算合理,08-18 02:08
29,2340,2,【做多中国！】重大利好！,07-25 12:56
30,2374,2,黄山中期业绩预告显示旅游业已经复苏到疫情前水平（尽管股价依然还在坑内）。接下来酒,07-14 11:25
31,2634,9,】好自为之【,05-14 03:08
32,2342,3,应该是老凤祥的分红在买入了,07-21 10:07
33,2211,0,盈利能力已经恢复到疫情前水平,07-17 01:37
34,8281,19,诺大的市场，知己难遇，知音难觅，挚友难寻。B股留下的历史性机遇，足以实现一个人一,08-23 12:20
35,2156,0,$锦江Ｂ股(SH900934)$,07-11 01:18
36,2153,0,$锦江Ｂ股(SH900934)$,07-07 02:18
37,2204,2,问一下红利什么时候才能到账？,07-05 05:44
38,2144,0,$锦江Ｂ股(SH900934)$,07-03 10:00
39,2378,0,今天涨的全是B股,06-20 03:24
40,2211,0,今日停盘？,06-08 10:05
41,4299,9,为什么锦江B是值得持有十年的投资标的对锦江B的关注和思考有整整6个月了，一直疑问,03-07 12:46
42,2169,0,交易惨淡,06-06 11:11
43,2446,1,今年分不分红？,05-26 08:32
44,2468,2,多年持股守息,05-22 06:16
45,2572,5,B股，一股脑，梭哈！,03-24 10:13
46,2087,0,无语,05-10 06:26
47,2310,0,房价上涨200%，明天股价10%不该吗？,04-26 09:41
48,2610,2,机构借年报在洗盘，一季报非常好，几乎恢复到20-9年的1.15倍。,04-12 12:42
49,2300,0,当打之年，看谁最后被拍到沙滩上！[亏大了][惨!关灯吃面][韭菜][卖出][面],04-09 01:38
50,2262,0,真有胆子大的？A股跌一点儿，就敢把屁股卖了。也不怕踏空？！还是周末。佩服，佩服。,04-08 06:55
51,2259,1,加大“引客入甘”力度 促进跨省游全面恢复存在的问题及对策建议,03-21 12:31
52,2763,1,901云赛紧跟当前科技股热点，股价低盘子不大，又是上海国资委罩着成长性不用说，完,02-21 03:37
53,2664,0,锦江B。适合压箱底。中路B。适合博彩头。都是赌一把。屁股最大的风险是养成了做丅的,02-16 06:59
54,2512,0,继续砥砺前行！加油[坏笑][加油][上涨][加仓][看多][财神][火箭][66,02-14 12:45
55,2412,1,看看你的孪生兄弟，就不信你能一直无动于衷。,02-13 10:04
56,2249,0,看高2.24,02-13 09:43
57,2433,0,这股价相对于A股简直就是令人发指,02-10 11:45
58,2164,0,买买,02-08 11:00
59,2498,0,不说话了[微笑],01-30 11:53
60,2707,0,旅游火爆，节后大涨，坐稳了啊,01-25 12:07
61,2313,1,再不上车，只能说明你傻,01-19 11:18
62,3974,9,同一个股票，估值相差这么大正常吗？一定是有一方出了偏差,08-25 02:40
63,2013,0,赶紧上车,01-16 01:52
64,2017,1,合并提上日程了,01-10 09:26
65,1634,0,最后上车机会,01-10 09:47
66,1557,1,放量啦,01-06 08:54
67,1786,2,ab股合并看来提前了,01-05 11:52
68,1617,0,你去发财吧,12-19 10:43
69,1711,0,看盘挺长时间了，有点好奇是哪位先生每分钟都要买卖一手,12-19 10:52
70,1400,0,转发,12-15 07:02
71,1652,0,听说是B股转A股，真的吗？,12-14 02:11
72,1263,0,转发,12-11 04:08
73,1466,0,如虎添翼！利好！拿它压箱底更放心了。[大笑][大笑][看多][看多],12-10 07:32
74,966,0,转发,12-09 05:58
75,829,0,转发,12-09 03:30
76,854,0,五,12-05 11:04
77,813,0,2,12-05 09:07
78,752,0,9,12-05 07:57
79,718,0,。,12-05 06:21
