,read,comment,title,time
0,39,1,海控B股10月25日快速回调,10-25 10:08
1,72,0,海控B股10月24日快速上涨,10-24 10:33
2,63,0,大盘开启攻击模式了,10-24 09:44
3,82,0,大盘开始反攻了,10-23 01:07
4,179,0,金额：1616[兴奋]金融遗址名不虚传,10-20 10:51
5,259,0,海控B股10月17日盘中跌幅达5%,10-17 10:37
6,313,0,这股没人理啊，很久都没人说句话,10-15 07:41
7,1301,2,融资保证金比例下调正式实施 或带来约4000亿元融资增量资金,09-11 03:10
8,1446,0,$海控B股(SH900945)$,09-04 10:06
9,1631,0,海控B股8月28日快速上涨,08-28 09:41
10,1625,0,海控B股8月28日开盘涨幅达5%,08-28 09:41
11,2212,1,这股票是拿来存养老金的嘛，一天就几个交易[奸笑][奸笑][奸笑]今天就他一个没绿,08-15 06:42
12,2274,2,天天下跌是不是准备退市了,07-11 01:31
13,2315,1,这nm一上午都没有交易，还有存在的必要吗,07-05 11:12
14,2071,1,海控B股7月3日快速回调,07-03 02:11
15,2251,0,$海控B股(SH900945)$,07-03 11:13
16,2241,0,尾盘偷袭啊[呲牙],06-30 06:37
17,2393,1,不要的草粽,06-21 10:55
18,2073,0,海控B股6月26日开盘涨幅达5%,06-26 09:26
19,2716,0,海航系B股(900945、900938、420153)三兄弟，翻倍概率谁最大。,10-06 12:26
20,2319,0,海控B股(900945)龙虎榜数据(05-31),05-31 04:59
21,2912,3,海控B股4月25日快速上涨,04-25 09:47
22,2735,1,*st华电B，摘帽行情己启动。仅供战友们参考哈[微笑],04-18 10:08
23,2339,0,海控B股4月17日快速反弹,04-17 09:37
24,2718,0,整个B股流通值不值一架大飞机,04-15 01:24
25,2354,0,海控B股4月13日快速反弹,04-13 09:50
26,2101,0,海控B股4月13日盘中跌幅达5%,04-13 09:45
27,2231,0,海控B股4月4日快速回调,04-04 09:42
28,2081,0,海控B股4月3日快速反弹,04-03 09:45
29,495,0,海控B股3月17日快速上涨,03-17 09:53
30,705,0,海控B股1月31日快速反弹,01-31 02:05
31,634,0,海控B股1月30日快速上涨,01-30 09:39
32,615,0,海控B股1月19日快速反弹,01-19 10:43
33,792,1,海控B股1月3日快速回调,01-03 09:37
34,711,0,海控B股1月11日盘中跌幅达5%,01-11 01:20
35,660,0,海控B股1月11日加速下跌,01-11 10:10
36,832,2,海控B股12月15日快速回调,12-15 09:39
37,708,0,海控B股12月28日快速反弹,12-28 09:40
38,710,0,海控B股12月27日快速回调,12-27 09:35
39,732,0,海控B股12月27日快速上涨,12-27 09:32
40,3381,5,海控B股(900945)龙虎榜数据(12-13),12-13 04:44
41,773,0,海控B股12月26日盘中涨幅达5%,12-26 09:46
42,731,0,海控B股12月26日快速上涨,12-26 09:41
43,762,0,海控B股12月26日快速反弹,12-26 09:37
44,783,0,海控B股12月19日快速反弹,12-19 10:12
45,763,0,海控B股12月19日盘中跌幅达5%,12-19 10:08
46,748,0,海控B股12月16日快速反弹,12-16 09:38
47,695,0,海控B股12月14日快速反弹,12-14 10:12
48,726,0,海控B股12月14日快速回调,12-14 09:49
49,2897,2,海控B股(900945)龙虎榜数据(12-07),12-07 04:54
50,730,0,海控B股12月13日快速回调,12-13 10:03
51,751,0,海控B股12月13日打开涨停,12-13 09:59
52,728,0,海控B股12月13日盘中涨停,12-13 09:58
53,707,0,海控B股12月13日盘中涨幅达5%,12-13 09:57
54,701,0,海控B股12月13日快速上涨,12-13 09:55
55,772,0,海控B股12月12日快速上涨,12-12 10:39
56,717,0,海控B股12月12日快速反弹,12-12 09:41
57,774,0,海控B股12月8日快速回调,12-08 09:59
58,823,0,海控B股12月7日打开涨停,12-07 01:28
59,806,0,海控B股12月7日盘中涨停,12-07 01:27
60,825,0,海控B股12月7日盘中涨幅达5%,12-07 09:42
61,735,0,海控B股12月7日快速上涨,12-07 09:36
