,read,comment,title,time
0,637,0,B股与北交所一样，没有流动性,10-10 01:51
1,2919,6,股息率比银行高四倍,09-05 10:17
2,1390,1,按照净资产清盘吧,09-19 09:45
3,2331,5,我已经解脱，我走了。,07-18 10:32
4,1499,0,停牌了吗？,09-14 09:47
5,1527,1,华谊AB股是不是同一个公司?,09-11 09:45
6,1646,0,解决B股历史问题的好时机。B转A。,09-10 07:54
7,1768,1,库存多，只要卖了，利润就大增。,08-30 03:20
8,2139,1,4大轮胎工厂，大规模招聘毕业生,08-25 08:13
9,1774,0,B股暴了，恐怖,08-31 03:05
10,1962,0,半年报简牍,08-30 05:07
11,1943,1,B股现在和港股差不多了，具有投资价值了。破0.4元进场，等分红。,08-24 03:37
12,1714,0,华谊B股8月28日开盘涨幅达5%,08-28 09:29
13,1819,0,利不利好这个股票。,08-28 07:43
14,1859,0,己过60岁了哈哈哈哈哈,08-26 06:44
15,2008,0,人民币特种股票，让投资者寒心,08-21 06:18
16,2004,0,华谊B股8月17日快速反弹,08-17 10:55
17,2117,0,还跌跌不休的。,08-17 08:20
18,2289,4,请问分红什么时候到账？,07-11 01:25
19,2464,2,2分6厘美元来了，7月某日分红,06-28 06:10
20,2232,4,跌破0.4就梭哈,06-14 10:23
21,2027,0,华谊B股6月19日加速下跌,06-19 02:28
22,4627,2,"再见华谊B，六年前一半美元买了华谊B,一半宝信B，今年宝信近五倍出投伊泰B，再翻",07-19 01:03
23,2030,0,华谊B股6月6日快速回调,06-06 09:36
24,2324,0,华谊B可以回归A股了。,06-01 09:22
25,2353,0,其实只要他正常分红个利润的百分三十，他什么价格我不管,05-31 08:58
26,2088,0,华谊B股5月31日盘中跌幅达5%,05-31 01:39
27,2275,0,跌过头了,05-30 03:13
28,3174,1,b股第一价值股,02-26 09:41
29,2278,0,跌出shi大概还是有道理,05-30 10:47
30,2304,0,散户再进这种市场就人傻钱多了，愿赌服输，追加在这种环境下没意思了，赌博赚概率比这,05-29 02:41
31,2415,0,散户都看不到几个，冷冷清清股吧,05-21 07:57
32,3017,0,AB股并轨,04-04 10:48
33,2957,0,今天快到年底，有谁说说华谊B的业绩、分红情况？,12-01 12:39
34,2318,0,人民币特种股票,03-20 10:12
35,601,0,华谊B股3月20日快速反弹,03-20 09:39
36,2293,0,华谊B股3月17日快速回调,03-17 09:36
37,401,0,华谊B股3月13日快速反弹,03-13 10:21
38,2091,1,华谊B股3月13日盘中跌幅达5%,03-13 10:16
39,2564,0,[韭菜],02-09 05:28
40,3086,0,新年快乐，初心不改，持仓还在,01-01 04:35
41,2665,1,这几家确实有望走出行情啊，股价低位置也低，近期还有资金在流入[憨笑][奸笑],12-19 10:44
42,2655,0,早盘大幅杀跌、尾盘不涨停等情况都会严格清仓规避风险，供参考[梭哈],12-21 07:12
43,2315,0,华谊B股12月26日快速反弹,12-26 09:37
44,2294,0,转发,12-16 06:54
45,2311,0,只,12-11 09:28
46,2269,2,牛的。,12-07 07:44
47,2345,1,$华谊B股(SH900909)$,12-05 10:53
48,2272,0,来了,12-06 10:28
49,2267,0,转发,12-02 07:40
50,2314,0,感谢大佬,12-01 07:57
51,2332,0,受益匪浅,11-30 05:11
52,2290,0,。。,11-25 01:21
53,3824,1,人民币贬值，B股要跌的，尤其是华谊，AB股差价不大。贬值后差价更小了,08-30 10:54
54,4288,4,不管怎么讲我感觉华谊B应该是值得投资的,08-01 01:48
55,1144,0,华谊B股10月10日快速回调,10-10 10:00
56,1346,0,华谊B股9月26日快速反弹,09-26 02:15
57,1183,0,华谊B股9月26日打开跌停,09-26 02:07
58,1247,0,华谊B股9月26日盘中跌停,09-26 02:03
59,1212,0,华谊B股9月26日加速下跌,09-26 01:58
60,1143,0,华谊B股9月26日盘中跌幅达5%,09-26 01:51
61,3699,1,坚定持有,04-21 10:50
62,2592,1,广西华谊新材料有限公司是隶属于上海华谊集团的二级公司。上海华谊（集团）公司是由上,09-05 04:46
63,3795,4,同样是化工企业，华谊比氯碱分红比率高[赞],09-05 04:13
64,2093,0,广西华谊能源化工有限公司隶属于上海华谊（集团）公司，公司成立于2016年4月。上,09-05 04:42
65,4171,2,和一年前的伊煤一样，买后股价翻了一倍多。现在的st华电B(900937)也处于同,08-17 01:14
66,3333,0,分红到帐接着买,07-27 03:26
67,4051,1,分红到账了，大家用分红买哪知股票呢？,07-21 07:10
68,4031,1,分红为什么不到账？,07-22 11:01
69,2640,0,公司没有信誉。,07-22 09:42
70,2890,0,咋就分红没有到账？,07-22 09:40
71,2863,1,各位请问B股红利啥时候到账,07-13 02:01
72,3419,4,$XD华谊B(SH900909)$分配的资金什么时候到账户,07-06 11:26
73,2841,0,庄家压股价就是等我们用分红钱买股票,07-14 10:49
74,2701,0,本月22日红利到帐,07-13 02:19
75,3416,4,2021年度分配10派4.20元(含税)，股权登记日2022-07-08，除权除,07-07 11:02
76,2420,7,来分红的,05-27 11:27
77,2580,0,这几年靠分红生活了，不用怎么涨横盘就行,07-07 01:47
78,2856,2,各位高手，今天卖掉，可以分红吗？,07-06 09:29
79,1735,1,啥时分红到账,07-05 02:11
80,2498,0,$华谊B股(SH900909)$好像0.09美元按汇率比a股多,07-05 08:19
81,3278,11,高分红，拿着当存款。这股不错。,06-17 03:54
82,2819,0,高分红率、低市盈率、汽车股、B股后市可期,06-01 12:23
83,1708,0,太高了清仓,05-31 09:57
84,2652,2,坐等分红，板凳坐着屁股疼！,05-24 10:15
85,3585,5,今年华谊B股股息率大于10%，本人已建仓完成，等一个月就可以拿到分红了！,03-04 06:36
86,2581,0,什么时候能回到十块钱就发了,04-28 01:21
87,2661,1,$华谊B股(SH900909)$逢高全部完美清仓逃之夭夭。,04-15 02:03
88,2667,0,现在跑了，脑子不好使了。还有两个月派息，10股派4.2，按现在的股价都快10%了,04-21 10:52
89,2676,0,$华谊B股(SH900909)$全部清仓永远不碰再碰B股。,04-19 11:12
90,2611,0,$华谊B股(SH900909)$全部清仓落袋为安换成人民币不再碰B股了。,04-19 10:09
91,2614,0,$华谊B股(SH900909)$不再碰它了。,04-15 02:03
92,2634,0,$华谊B股(SH900909)$全部清仓落袋为安完美逃顶。,04-15 11:43
93,2973,1,$华谊B股(SH900909)$京东b股开始回购了，华谊业绩这么好，B股价格这么,04-01 11:20
94,2716,0,快去氯碱B股，AB股差价大，华谊A股股价被国盛搞死了。,04-06 10:56
95,2970,0,华谊B股3月16日快速回调,03-16 09:45
96,2868,0,$华谊B股(SH900909)$月线肯定要死叉了[哭][哭],03-15 05:11
97,2963,0,明天上涨百分之七可期。,03-09 04:30
98,3066,2,$华谊B股(SH900909)$死水一谭，无人关注，四季度没有盈利。,02-22 10:10
99,2252,0,留着拿红利,03-02 05:09
100,2311,0,后面肯定有戏,02-09 10:30
101,3157,0,实事求是的贴子  说的是客观事实  不可以吗  不让发  怕啥呢,02-07 02:57
102,3516,1,公司资讯,12-13 09:40
103,4521,2,此B慢慢涨，A却阴跌，求解,12-14 10:04
104,3553,2,B股是什么，是不是这家公司的白屁股？,01-15 09:09
105,2757,1,期待B转A,01-13 12:39
106,3061,1,甲醇期货大涨,01-07 11:16
107,3462,0,$华谊B股(SH900909)$2022年第一帖，我又来啦，还在坚持着,01-01 10:05
108,3705,0,进入新能源产业了，且开始产出产品了，厉害！,12-13 09:37
