,read,comment,title,time
0,1755,2,郑重要求振华公司将B股全数回购并注销,09-03 02:36
1,1045,1,$振华Ｂ股(SH900947)$,09-28 09:35
2,1234,2,散户股民疯狂抄底吃回杀他个回马枪节前捞一把就走。,09-21 02:15
3,1994,3,阿憨庄家忘乎所以打压,08-31 11:27
4,1236,0,下面这个大单值得深思一一还有这么多的啊,09-21 02:58
5,1270,1,重仓抄底吃回杀他个回马枪。,09-19 10:38
6,1403,2,抄底重仓吃回杀他个回马枪,09-11 02:43
7,1515,0,如此廉价，白菜价，卖有什么意义？哦赶紧出了换人民币吗？那我告诉你此刻的汇率是7.,09-08 01:07
8,1518,1,转发,09-07 08:37
9,1554,0,转发,09-05 04:07
10,2259,9,现在价格买入，多少年后妥妥的十倍股票！,07-14 12:37
11,1788,2,月K线图形KDJ死叉，坚决远离垃圾企业振华重工。,08-29 10:44
12,1811,2,所有美元全部抄底重仓吃回杀他个回马枪。,08-28 11:55
13,1699,0,是阿斗吗,08-31 10:54
14,1701,0,全部清仓止损持币为王。,08-31 10:36
15,1815,1,按照以往长期炒股经验重大利好高开低走后必须有一个长时间的砸盘下跌过程，到最后不声,08-29 11:18
16,1774,0,抄底,08-28 02:31
17,2019,1,货币贬值，这个股票也贬值了,08-22 01:54
18,2025,0,目标1美元,08-20 11:16
19,2094,0,远离垃圾股票,08-18 11:04
20,2216,0,垃圾堆,08-14 11:33
21,2172,0,？,08-11 03:05
22,2199,6,这么好的股票为啥这么个德行，跌跌不休，这不正常。,07-04 01:44
23,2207,0,人类垃圾堆。,08-08 11:21
24,2146,1,振华Ｂ股7月27日快速上涨,07-27 09:40
25,2515,4,1997年的2.299元一直跌到今天的0.248，可以用一个“绝”字来形容，国之,05-30 12:37
26,2118,0,图形丑陋不堪坚决远离振华重工垃圾堆。,07-14 02:20
27,2536,5,煤、电行业，作为经济基础命脉之一，它的整合，社会主义化的改造、重建方向，利好社会主义社会祖国的复兴，利好人民群众安居乐业*st华,08-30 01:20
28,2517,0,天呐‼这个股票人气太低了。都没人评价了。跌死的了,06-20 10:57
29,2155,0,鲁太回购B股了，公司为什么不回购,06-19 06:59
