,read,comment,title,time
0,2861,3,富奥B10派2.5元，吃香喝辣，年收益超10%。,04-19 07:42
1,63,0,是我想的那样吗？2.5元分0.25元？[吃瓜]然后股价扣除0.25元？,10-24 06:26
2,2198,3,分红是除权，除的是自己的股价，涨不回去等于自己吃自己的股价，还得交税。现金分红是,07-01 11:35
3,2203,2,这股适合稳定收息的投资者，按照目前的股价在B股中收益率还是很不错的，我也持股三年,08-02 09:58
4,3066,1,这股干嘛的,01-16 06:07
5,2185,0,是不是买亏了,08-09 11:40
6,1930,0,富奥B6月26日快速回调,06-26 09:38
7,1943,0,富奥B6月15日盘中跌幅达5%,06-15 01:04
8,2191,0,富奥B4月25日快速回调,04-25 09:47
9,2230,0,富奥B4月20日盘中涨幅达5%,04-20 09:32
10,2326,0,富奥B4月4日快速反弹,04-04 10:48
11,2303,0,富奥B3月30日开盘跌幅达5%,03-30 09:31
12,899,0,富奥B1月31日快速回调,01-31 09:54
13,1564,0,富奥B11月15日盘中跌幅达5%,11-15 10:02
14,983,0,富奥B11月15日快速回调,11-15 09:53
15,1332,0,富奥B10月24日加速下跌,10-24 09:39
16,3630,0,一手也买，快,10-20 09:47
17,1249,0,富奥B10月18日快速反弹,10-18 09:44
18,1353,0,富奥B10月14日快速上涨,10-14 02:37
19,1340,0,富奥B10月14日盘中涨幅达5%,10-14 02:37
20,1542,0,富奥B9月26日快速反弹,09-26 02:11
21,1481,0,富奥B9月26日盘中跌幅达5%,09-26 02:06
22,2225,0,富奥B6月13日快速回调,06-13 09:52
23,2312,0,富奥B6月13日开盘涨幅达5%,06-13 09:32
24,5219,1,富奥B5月11日快速反弹,05-11 10:38
25,4984,0,富奥B5月11日盘中涨幅达5%,05-11 10:38
26,5170,0,富奥B(200030)龙虎榜数据(05-05),05-05 04:24
27,2625,0,富奥B5月5日盘中跌幅达5%,05-05 10:36
28,5141,0,富奥B4月28日快速回调,04-28 10:28
29,5320,0,富奥B3月17日快速回调,03-17 10:00
30,5299,0,富奥B3月15日盘中跌幅达5%,03-15 03:03
31,5431,0,富奥B3月15日快速反弹,03-15 02:09
32,5395,0,富奥B3月14日盘中跌幅达5%,03-14 09:51
33,5305,0,富奥B3月10日快速上涨,03-10 10:03
34,5346,0,富奥B3月3日快速反弹,03-03 09:36
35,5594,0,富奥B12月23日快速回调,12-23 02:47
36,5160,0,富奥B12月23日快速上涨,12-23 02:42
37,6803,0,富奥B12月2日快速上涨,12-02 09:45
38,4723,0,富奥B11月1日快速反弹,11-01 09:50
39,3403,0,富奥B11月1日快速回调,11-01 09:45
40,4285,0,富奥B8月18日快速上涨,08-18 01:32
41,4218,0,富奥B6月4日快速回调,06-04 09:35
42,3240,0,富奥B3月24日快速反弹,03-24 10:04
43,2222,0,富奥股份:独立董事关于相关事项的独立意见,07-30 07:34
44,2224,3,富奥股份:关于放弃参股子公司部分股权的优先购买权暨关联交易公告,06-22 07:54
45,2111,0,富奥股份:独立董事关于相关事项的独立意见,06-22 07:54
46,2175,0,富奥股份:董事会决议公告,06-22 07:54
47,1853,0,富奥股份:独立董事关于公司第九届董事会第二十一次会议相关议案的事前认可意见,06-22 07:54
48,2492,3,富奥股份:2019年度权益分派实施公告,06-08 06:16
49,1999,0,富奥股份:股票交易异常波动公告,06-01 08:11
50,1849,0,富奥股份:2019年度股东大会的法律意见书,05-15 08:45
51,1674,0,富奥股份:2019年度股东大会决议公告,05-15 08:45
52,2258,1,富奥股份:关于参股公司吸收合并的公告,05-06 04:55
53,1804,0,富奥股份:2019年度内部控制自我评价报告,04-22 05:14
54,1652,0,富奥股份:关于召开2019年度股东大会通知的公告,04-22 05:14
55,1577,0,富奥股份:2020年第一季度报告正文,04-22 05:14
56,1502,0,富奥股份:独立董事关于公司第九届董事会第十九次会议相关议案的独立意见,04-22 05:14
57,1541,0,富奥股份:关于合资公司完成工商注册登记的公告,04-22 05:14
58,1531,0,富奥股份:2019年度独立董事述职报告(马野驰),04-22 05:14
59,1524,0,富奥股份:2019年度非经营性资金占用及其他关联资金往来的专项说明,04-22 05:14
60,1386,0,富奥股份:关于公司2019年度涉及财务公司关联交易的存款、贷款等金融业务的专项说明,04-22 05:14
61,1400,0,富奥股份:独立董事关于公司第九届董事会第十九次会议相关议案的事前认可意见,04-22 05:14
62,1491,0,富奥股份:2019年度独立董事述职报告(马新彦),04-22 05:13
63,1561,0,富奥股份:董事会决议公告,04-22 05:13
64,1771,0,富奥股份:2019年年度报告摘要,04-22 05:13
65,1531,0,富奥股份:关于向全资子公司富奥辽宁汽车弹簧有限公司提供委托贷款的关联交易公告,04-22 05:13
66,1550,0,富奥股份:2019年年度董事会报告,04-22 05:13
67,1870,0,富奥股份:2020年第一季度报告全文,04-22 05:13
68,3224,0,富奥股份:2020年第二次临时股东大会决议公告,03-06 04:58
69,3667,1,富奥股份:关于对外捐赠支持新型冠状病毒肺炎疫情防控的自愿性信息披露公告,02-27 06:51
70,1978,0,富奥股份:独立董事关于公司第九届董事会第十八次会议相关议案的独立意见,02-27 06:52
71,2522,0,富奥股份:董事会决议公告,02-27 06:52
72,2283,0,富奥股份:董事、监事及高级管理人员报酬管理办法(2020年2月),02-19 04:09
73,2180,0,富奥股份:董事会决议公告,02-19 04:09
74,3544,6,富奥股份:关于股份回购实施结果公告,02-17 03:35
75,2733,0,富奥股份:董事会决议公告,01-20 07:53
76,2517,1,富奥股份:对控股子公司进行增资的公告,12-27 11:42
77,2213,0,富奥股份:《公司章程》修正案,12-27 11:42
78,1977,0,富奥股份:公司章程(2019年12月),12-27 11:42
79,1712,0,富奥股份:关于2020年第一次临时股东大会增加临时提案的公告暨召开2020年第一次临时股东大会的补充通知,12-27 11:42
80,6121,3,你们的分红到账了吗？,06-15 12:16
81,5833,5,今天走了，还有分红吗,06-13 09:18
82,5634,0,富奥A明显走强，强烈关注。,06-01 11:47
83,5971,0,富奥A低开高走，业绩差也是疫情影响，现在疫情已经控制住了：B股无任何理由大跌。,05-05 12:58
84,6089,0,怎么没有预减的公告，一季报也太差了，才一分。伤心。,04-29 07:26
85,5869,1,高分红，又没什么抛压，坚守。,04-21 03:03
86,5781,0,一个小时，没有成交。B股真的可以关停了。,04-13 10:23
87,5867,0,全部BB股回购注销,03-30 11:10
88,5923,0,牛，一上午六万左右的成交金额,03-28 10:54
89,5640,1,耐心等到3.30元建仓,11-24 03:07
90,7684,0,10%以上现金分红率高折价价值股可继续持股等待！,11-27 10:10
91,5135,0,这股没庄,11-22 12:13
92,96362,1,请问董秘截止到8月10日的最新股东人数，多谢！,08-16 09:06
93,12334,1,怎么没有交易？被隔离了？,09-24 11:35
94,14543,0,长阳不破！旗形整理完毕！,08-27 06:47
95,6275,2,大盘波动加大 吉林板块一枝独秀 富奥股份000030重点布局！,05-14 03:08
96,68363,0,请问董秘截止目前的最新股东人数，多谢了！,08-11 04:18
97,103275,0,请问，截止7月31日公司的股东户数是多少？谢谢！,08-11 04:18
98,96047,0,请问，截止7月20日公司的股东户数是多少？谢谢！,08-11 04:16
99,5877,3,A股都搞不好，还搞B股，真的是皮包公司，专坑股民的钱,12-11 06:47
100,8626,0,忙了一大天，还是马路上捡到一分钱，真怂！算啦，我交警察叔叔去,07-22 03:27
101,94525,0,请问，截止7月10日公司的股东户数是多少？谢谢！,07-14 02:11
102,95650,0,你好董秘不是很懂，请问大股东质押给证券公司的股票，证券公司有没有权力在市场进行融,07-12 02:47
103,105341,0,请问董秘公司截止目前的股东人数，多谢您了！,07-07 02:32
104,96937,0,请问，截止6月20日公司的股东户数是多少？谢谢！,07-07 02:30
105,7064,0,富奥B怎么啦？得了分红病？这贴权也太厉害了，凭什么跌的这样凶？看来分红送股都没好,07-05 02:19
106,6594,3,富奥b股息率接近10%,06-10 10:38
107,7899,0,搞晕了，大侠们来解惑！,06-17 09:53
108,6672,0,B股作为股市的作用已经完全没有了，交易已处于沉寂的状态。解决B股的方法是不是可以,06-11 02:15
109,6416,1,大幅冲高时重仓者适当减持，否则继续持股！,06-10 03:02
110,6402,0,低估值才是硬道理！！！,06-10 11:22
111,6254,2,富奥B上升空间打开 庄家全控！吉林板块量价齐升独立于大盘！,05-21 07:45
112,6241,0,中国一汽创建世界一流企业大会在长春召开！,06-07 01:23
113,74629,0,请问董秘截止5月31日的股东人数，非常感谢！,06-04 04:30
114,98099,0,请问，截止5月31日公司的股东户数是多少？谢谢！,06-04 04:29
115,97970,0,请问，截止5月20日公司的股东户数是多少？谢谢！,06-02 09:07
116,4567,0,富奥B天天升即将创新高 富奥A阴跌创近期新低！同爹不同妈？,05-20 10:33
117,98489,0,董秘认为在未来市场需求量会扩大吗？,05-10 03:48
118,98689,0,请问贵公司是不是北汽新能源供应商？汽车零部件的供应商有哪些？,05-10 03:43
119,98310,0,请问，截止4月10日公司的股东户数是多少？谢谢！,05-10 01:47
120,99191,0,请问，截止4月20日公司的股东户数是多少？谢谢！,05-10 01:44
121,98564,0,请问，截止4月30日公司的股东户数是多少？谢谢！,05-10 01:43
122,64638,0,请问董秘截止4月30日的股东人数，非常感谢！,05-10 01:43
123,98100,0,请问董秘最新股东人数，如果方便可否4/29公布年报和季报时也把截止四月底的股东人,05-10 01:42
124,3594,0,10%的股息率,05-06 10:37
125,99628,0,富奥高层人员变动是否会发生管理方式上的变化？,04-12 08:13
126,93901,0,王老师您好，请问贵公司企业转型提升计划有哪些？,04-12 07:54
127,91369,0,富奥现在股东数量有多少？,04-06 05:26
128,228482,0,大国重器 中国制造,04-01 10:30
129,74928,0,富奥第一季度的销量情况如何？,04-01 10:00
130,71739,0,贵公司一二月份的营收比2020年同期如何？,04-01 09:59
131,57511,0,同行业的公司有哪些？贵公司在同行业排名如何？有什么优势？,04-01 09:58
132,56344,0,贵公司拥有哪些专利技术？,04-01 09:57
133,42498,0,请问董秘截止三月底的最新股东人数，非常感谢！,04-01 09:56
134,51829,0,请问贵公司零件生产是否以配适传统汽车为主，准备如何更好地迎合新兴市场？,04-01 09:52
135,141363,0,高端制造行业解读,03-25 02:02
136,49261,0,在碳中和的背景下，对公司业务与发展有何影响，偏正向还是负面？,03-24 09:14
137,48692,0,贵公司的产品与现在碳中和领域有关联吗,03-24 09:14
138,3111,0,现全仓深中华B必发财。,03-23 02:09
139,32088,0,请问董秘截止二月底的股东人数，非常感谢！,03-04 04:30
140,166404,0,如何把握中国制造业的投资机会？,03-01 07:00
141,33366,0,捷风资讯2月6日报道：[富奥股份]富奥汽车零部件股份有限公司电动系统分公司进行了,02-17 10:03
142,34635,0,请问董秘，公司的2020年报预告什么时候会出？,02-17 09:59
143,33408,0,请问董秘：公司2020年目标是不是全部完成？2021年工作目标是什么？全国上下都,02-17 09:56
144,30897,0,请问董秘截止一月底的公司股东人数，非常感谢！,02-09 05:30
145,28490,0,请问董秘截止目前的最新股东人数，非常感谢！,02-09 05:30
146,2022,0,这里没人啊，愣啊！看样子离春天远着呢。,02-02 06:34
147,184033,0,聚焦“科技升级+制造崛起”,02-01 03:00
148,2053,1,开住北国000030班车整车待发！,02-01 09:08
149,1968,0,富奥股份:关于预计公司2020年度日常关联交易的公告,12-18 11:40
150,2103,0,富奥股份:2019年第六次临时股东大会决议公告,12-13 06:01
151,2938,1,富奥股份:以集中竞价方式回购公司股份的进展公告,12-02 11:41
152,1591,0,富奥股份:监事会决议公告,12-01 04:01
153,1652,0,富奥股份:独立董事关于相关事项的独立意见,12-01 04:01
154,1731,0,富奥股份:关于2019年第六次临时股东大会增加临时提案的公告暨召开2019年第六次临时股东大会的补充通知,12-01 04:01
155,2208,1,富奥股份:2019年度新增日常关联交易预计的补充公告,11-26 04:34
156,2522,2,富奥股份:关于富奥泵业分公司大众MEB电动水泵项目投资的公告,11-22 04:47
157,2381,0,富奥股份:董事会决议公告,11-21 03:40
158,1791,0,富奥股份:关于召开2019年第六次临时股东大会通知的公告,11-21 03:40
159,2082,0,富奥股份:独立董事候选人声明(李晓),11-21 03:40
160,211808,0,制造业大神袁航来高能来袭,01-22 07:20
161,2860,1,乘政策东风，陕西金叶大力发展教育业务来源：中华网2021-01-0718:06:,01-07 08:35
162,2259,0,垃圾没人要。邪门,12-30 03:22
163,2206,0,千年王八股不知哪来的非要压着股价,12-10 11:03
164,2137,0,砸盘SB何时完,12-07 09:44
165,2105,0,太佩服这帮砸盘猪了,12-01 02:04
166,1939,0,垃圾股只卖不买,11-27 02:23
167,2061,0,不得好S的砸盘猪,11-24 09:53
168,2029,0,这个票好奇怪，没有成交量的。,11-16 10:48
169,2017,0,不得好的砸盘蠢货,11-11 01:18
170,2039,0,A股大股东是境外超级机构，高附加值的世界品牌配件，B股股价严重偏低，有被境外举牌,11-10 02:32
171,1999,0,清仓时机到了,10-23 11:08
