,read,comment,title,time
0,3262,17,伊泰B，前世今生和前景,05-30 06:03
1,345,2,今天的主战场在港股市场！要有信心。集中资金捡便宜筹码。挣扎等待了几个月，终于等到,10-24 08:05
2,354,3,伊泰每年都要担保，玩的那出戏，是否是利益输送，还是洗钱？,10-24 11:39
3,325,3,成立这么多与主营无关的公司然后巨额担保，总感觉这是管理层在转移公司资金，是否乱说,10-23 10:29
4,167,0,请分红，谢谢，一年多没分红，股价还跌，请董秘认真回答是否按监管要求推进了让大家共,10-24 05:14
5,171,0,等待三季度报告，等于煤炭板块平均值就好，刚H股退市，修养生息一段时间。,10-24 03:47
6,194,2,分红分红，不分红就是不遵守监管规定和要求，利润这么多都不分红,10-23 04:24
7,256,0,回购B股正当时,10-24 11:26
8,850,1,伊泰B股:内蒙古伊泰煤炭股份有限公司2023年第三次临时股东大会会议资料,10-23 05:01
9,443,3,10-31披露2023年三季报，H股退市后第一次业绩报告不低于煤炭板块就好。,10-23 12:36
10,1635,15,有动静了,10-17 11:23
11,308,2,新的公司章程,10-23 05:45
12,9372,97,《远望》……伊泰必，向远望。高高飞向蓝天上，我心多欢畅。今日短，明天长。时空不逆,05-27 08:47
13,286,1,鼓励增加分红批次，请按照要求执行,10-21 08:28
14,323,2,什么时候分红啊？,10-20 02:03
15,1785,9,信铭生命科技(00474)完成向伊泰煤炭(03948)出售昊天国际建投(01341)18.37%股权,10-17 06:58
16,489,5,H股什么时候注销,10-20 06:10
17,362,2,股价和净资产市盈率没关系，和诚信有关系,10-19 10:34
18,855,5,伊泰Ｂ正是买入好时机，持有半年机会远大于风险,10-19 10:19
19,514,3,转A,10-18 02:49
20,291,0,这种僵尸股回购注销算了,10-19 01:21
21,308,0,股价低于净资产那么多，脸呢？要么回购注销，要么给股民分红,10-19 01:18
22,890,8,请教一下买这这股在银行是换现汇还是现汇好呢？,10-10 11:16
23,1680,6,三季度煤炭价格恢复性增长，H股退市完毕，B股可以分红了。,09-28 05:09
24,300,0,h股什么时候注销,10-19 09:47
25,529,2,视频号:刘纪鹏：证券市场发展33年，仍有很多历史遗留问题尚未解决。@刘纪鹏教授#,10-17 08:11
26,682,2,0.40美元再买。,10-18 04:22
27,357,0,这货已经折价了，净资产也要2.4美元了。,10-18 03:12
28,331,1,分红高就行,10-18 02:48
29,351,0,很多B股会跌到几美分,10-18 11:43
30,418,2,这种长时间每天换手率低于0.1%的股票，已经是僵尸股，有必要存在吗？,10-17 09:47
